seed,sl_model,rr_multiple,sym_filter,window,n_feature_gates,gates,n_trades,trades_per_year,win_pct,sl_pct,timeout_pct,expectancy_r,max_losing_streak,profit_factor
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h12-14(3h),1,break_close_location<=0.921 & sym:jpy_pairs & win:h12-14(3h),717,102.5,0.3933,0.6039,0.0028,0.1837,9,1.304
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h13-15(3h),1,break_close_location<=0.921 & sym:jpy_pairs & win:h13-15(3h),721,103.1,0.387,0.6117,0.0014,0.1634,11,1.267
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h12-15(4h),1,break_close_location<=0.921 & sym:jpy_pairs & win:h12-15(4h),929,132.8,0.3864,0.6114,0.0022,0.1622,12,1.265
ATR1_H8,SL_ATR_1_0,2.0,ALL,h08,1,break_close_location<=0.921 & win:h08,740,105.8,0.3797,0.6203,0.0,0.1392,15,1.224
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h12-14(3h),0,sym:jpy_pairs & win:h12-14(3h),945,135.1,0.3757,0.6085,0.0159,0.1579,16,1.259
ATR1_H8,SL_ATR_1_0,2.0,nzd_bloc,h06-09(4h),1,break_close_location<=0.921 & sym:nzd_bloc & win:h06-09(4h),727,103.9,0.3728,0.6272,0.0,0.1183,17,1.189
ATR1_H8,SL_ATR_1_0,2.0,nzd_bloc,h08-11(4h),1,break_close_location<=0.921 & sym:nzd_bloc & win:h08-11(4h),705,100.8,0.366,0.634,0.0,0.0979,13,1.154
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h06-09(4h),1,break_close_location<=0.921 & sym:jpy_pairs & win:h06-09(4h),853,121.9,0.3658,0.6342,0.0,0.0973,15,1.153
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h06-08(3h),0,sym:jpy_pairs & win:h06-08(3h),813,116.2,0.3653,0.6347,0.0,0.0959,14,1.151
ATR1_H8,SL_ATR_1_0,2.0,high_vol,h12-15(4h),1,break_close_location<=0.921 & sym:high_vol & win:h12-15(4h),847,121.1,0.3648,0.634,0.0012,0.0955,13,1.151
ATR1_H8,SL_ATR_1_0,2.0,nzd_bloc,h07-09(3h),0,sym:nzd_bloc & win:h07-09(3h),716,102.4,0.3645,0.6355,0.0,0.0936,17,1.147
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h12-15(4h),0,sym:jpy_pairs & win:h12-15(4h),1219,174.3,0.3642,0.6218,0.0139,0.1198,18,1.193
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h13-15(3h),0,sym:jpy_pairs & win:h13-15(3h),928,132.7,0.3642,0.6239,0.0119,0.1154,13,1.185
ATR1_H8,SL_ATR_1_0,2.0,nzd_bloc,london,1,break_close_location<=0.921 & sym:nzd_bloc & win:london,1071,153.1,0.3632,0.6368,0.0,0.0896,16,1.141
ATR1_H8,SL_ATR_1_0,2.0,high_vol,h12-14(3h),0,sym:high_vol & win:h12-14(3h),863,123.4,0.3627,0.6362,0.0012,0.0891,10,1.14
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h07-09(3h),0,sym:jpy_pairs & win:h07-09(3h),828,118.4,0.3623,0.6377,0.0,0.087,16,1.136
ATR1_H8,SL_ATR_1_0,2.0,ALL,h07-08,1,break_close_location<=0.921 & win:h07-08,1569,224.3,0.362,0.638,0.0,0.086,18,1.135
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,ny,1,break_close_location<=0.921 & sym:jpy_pairs & win:ny,1286,183.8,0.3616,0.6369,0.0016,0.0869,13,1.136
ATR1_H8,SL_ATR_1_0,2.0,high_vol,h06-09(4h),1,break_close_location<=0.921 & sym:high_vol & win:h06-09(4h),782,111.8,0.3606,0.6394,0.0,0.0818,13,1.128
AOI_FAR,SL_AOI_FAR,2.0,eur_pairs,h23-01(3h),0,sym:eur_pairs & win:h23-01(3h),781,111.6,0.3598,0.6172,0.023,0.1182,13,1.191
ATR1_H8,SL_ATR_1_0,2.0,high_vol,h13-15(3h),0,sym:high_vol & win:h13-15(3h),845,120.8,0.3574,0.6426,0.0,0.0722,15,1.112
AOI_FAR,SL_AOI_FAR,2.0,eur_pairs,h00-02(3h),0,sym:eur_pairs & win:h00-02(3h),776,110.9,0.357,0.6211,0.0219,0.1094,14,1.176
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,london_ny,1,break_close_location<=0.921 & sym:jpy_pairs & win:london_ny,2539,363.0,0.3568,0.6424,0.0008,0.0716,23,1.111
ATR1_H8,SL_ATR_1_0,2.0,eur_pairs,asia,1,break_close_location<=0.921 & sym:eur_pairs & win:asia,1007,144.0,0.3565,0.6435,0.0,0.0695,19,1.108
ATR1_H8,SL_ATR_1_0,2.0,ALL,h08-09,1,break_close_location<=0.921 & win:h08-09,1527,218.3,0.3563,0.6437,0.0,0.0688,17,1.107
ATR1_H8,SL_ATR_1_0,2.0,eur_pairs,h23-01(3h),0,sym:eur_pairs & win:h23-01(3h),781,111.6,0.356,0.644,0.0,0.0679,12,1.105
ATR1_H8,SL_ATR_1_0,2.0,high_vol,h07-09(3h),0,sym:high_vol & win:h07-09(3h),778,111.2,0.356,0.644,0.0,0.0681,10,1.106
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h11-13(3h),0,sym:jpy_pairs & win:h11-13(3h),841,120.2,0.3555,0.6421,0.0024,0.0698,17,1.109
ATR1_H8,SL_ATR_1_0,2.0,high_vol,h08-11(4h),1,break_close_location<=0.921 & sym:high_vol & win:h08-11(4h),782,111.8,0.3555,0.6445,0.0,0.0665,11,1.103
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h10-13(4h),1,break_close_location<=0.921 & sym:jpy_pairs & win:h10-13(4h),847,121.1,0.3554,0.6423,0.0024,0.0693,15,1.108
ATR1_H8,SL_ATR_1_0,2.0,nzd_bloc,h08-10(3h),0,sym:nzd_bloc & win:h08-10(3h),735,105.1,0.3551,0.6449,0.0,0.0653,17,1.101
ATR1_H8,SL_ATR_1_0,2.0,ALL,h01,1,break_close_location<=0.921 & win:h01,859,122.8,0.3551,0.6449,0.0,0.0652,12,1.101
ATR1_H8,SL_ATR_1_0,2.0,ALL,h22,1,break_close_location<=0.921 & win:h22,835,119.4,0.3545,0.6455,0.0,0.0635,10,1.098
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h14-16(3h),0,sym:jpy_pairs & win:h14-16(3h),855,122.2,0.3544,0.6456,0.0,0.0632,12,1.098
ATR1_H8,SL_ATR_1_0,2.0,gbp_pairs,h13-15(3h),1,break_close_location<=0.921 & sym:gbp_pairs & win:h13-15(3h),758,108.4,0.3536,0.6464,0.0,0.0607,17,1.094
AOI_FAR,SL_AOI_FAR,2.0,eur_pairs,h01-03(3h),0,sym:eur_pairs & win:h01-03(3h),710,101.5,0.3535,0.6239,0.0225,0.0986,18,1.158
ATR1_H8,SL_ATR_1_0,2.0,gbp_pairs,h04-07(4h),1,break_close_location<=0.921 & sym:gbp_pairs & win:h04-07(4h),753,107.6,0.3533,0.6467,0.0,0.0598,12,1.092
ATR1_H8,SL_ATR_1_0,2.0,eur_pairs,h00-03(4h),1,break_close_location<=0.921 & sym:eur_pairs & win:h00-03(4h),739,105.6,0.3532,0.6468,0.0,0.0595,16,1.092
AOI_FAR,SL_AOI_FAR,2.0,eur_pairs,asia,0,sym:eur_pairs & win:asia,1368,195.6,0.3531,0.625,0.0219,0.0965,20,1.154
ATR1_H8,SL_ATR_1_0,2.0,ALL,h07-09(3h),1,break_close_location<=0.921 & win:h07-09(3h),2356,336.8,0.3527,0.6473,0.0,0.0581,22,1.09
ATR1_H8,SL_ATR_1_0,2.0,gbp_pairs,h12-14(3h),1,break_close_location<=0.921 & sym:gbp_pairs & win:h12-14(3h),741,105.9,0.3522,0.6478,0.0,0.0567,15,1.087
ATR1_H8,SL_ATR_1_0,2.0,aud_bloc,h12-15(4h),1,break_close_location<=0.921 & sym:aud_bloc & win:h12-15(4h),761,108.8,0.3522,0.6478,0.0,0.0565,16,1.087
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,london,1,break_close_location<=0.921 & sym:jpy_pairs & win:london,1253,179.1,0.352,0.648,0.0,0.0559,24,1.086
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,nzd_bloc,h07-09(3h),0,sym:nzd_bloc & win:h07-09(3h),716,102.4,0.352,0.6383,0.0098,0.0715,13,1.112
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h06-08(3h),0,sym:jpy_pairs & win:h06-08(3h),813,116.2,0.3518,0.6359,0.0123,0.0754,12,1.118
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h01-03(3h),0,sym:jpy_pairs & win:h01-03(3h),796,113.8,0.3518,0.6482,0.0,0.0553,14,1.085
AOI_FAR,SL_AOI_FAR,2.0,ALL,asia,1,bearish_aoi_midpoint>=0.545 & win:asia,802,114.6,0.3516,0.6247,0.0237,0.0915,17,1.146
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h14-16(3h),0,sym:jpy_pairs & win:h14-16(3h),855,122.2,0.3509,0.6398,0.0094,0.0701,12,1.11
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h02-05(4h),0,sym:jpy_pairs & win:h02-05(4h),941,134.5,0.3507,0.644,0.0053,0.0606,16,1.094
ATR1_H8,SL_ATR_1_0,2.0,ALL,h13,1,break_close_location<=0.921 & win:h13,913,130.5,0.3505,0.6484,0.0011,0.0535,22,1.082
ATR1_H8,SL_ATR_1_0,2.0,eur_pairs,h00-02(3h),0,sym:eur_pairs & win:h00-02(3h),776,110.9,0.3505,0.6495,0.0,0.0515,15,1.079
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h01-03(3h),0,sym:jpy_pairs & win:h01-03(3h),796,113.8,0.3505,0.647,0.0025,0.0555,11,1.086
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h00-03(4h),1,break_close_location<=0.921 & sym:jpy_pairs & win:h00-03(4h),842,120.4,0.3504,0.6496,0.0,0.0511,14,1.079
ATR1_H8,SL_ATR_1_0,2.0,high_vol,h06-08(3h),0,sym:high_vol & win:h06-08(3h),765,109.4,0.3503,0.6497,0.0,0.051,13,1.078
ATR1_H8,SL_ATR_1_0,2.0,eur_pairs,h12-15(4h),1,break_close_location<=0.921 & sym:eur_pairs & win:h12-15(4h),897,128.2,0.3501,0.6477,0.0022,0.0527,11,1.081
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h04-07(4h),0,sym:jpy_pairs & win:h04-07(4h),1007,144.0,0.3496,0.6415,0.0089,0.0629,15,1.098
ATR1_H8,SL_ATR_1_0,2.0,gbp_pairs,h12-15(4h),1,break_close_location<=0.921 & sym:gbp_pairs & win:h12-15(4h),961,137.4,0.3496,0.6504,0.0,0.0489,14,1.075
ATR1_H8,SL_ATR_1_0,2.0,ALL,h13-14,1,break_close_location<=0.921 & win:h13-14,1860,265.9,0.3495,0.65,0.0005,0.0494,15,1.076
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h04-07(4h),1,break_close_location<=0.921 & sym:jpy_pairs & win:h04-07(4h),773,110.5,0.3493,0.6507,0.0,0.0479,16,1.074
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,h12-14(3h),0,sym:jpy_pairs & win:h12-14(3h),945,135.1,0.3492,0.5915,0.0593,0.1372,12,1.229
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h14-17(4h),1,break_close_location<=0.921 & sym:jpy_pairs & win:h14-17(4h),839,119.9,0.3492,0.6508,0.0,0.0477,14,1.073
ATR1_H8,SL_ATR_1_0,2.0,high_vol,london,1,break_close_location<=0.921 & sym:high_vol & win:london,1180,168.7,0.3492,0.6508,0.0,0.0475,15,1.073
AOI_FAR,SL_AOI_FAR,2.0,eur_pairs,h00-03(4h),0,sym:eur_pairs & win:h00-03(4h),977,139.7,0.349,0.6285,0.0225,0.0864,16,1.138
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,ny,0,sym:jpy_pairs & win:ny,1683,240.6,0.3488,0.6405,0.0107,0.0671,25,1.105
ATR1_H8,SL_ATR_1_0,2.0,usd_majors,h00-02(3h),0,sym:usd_majors & win:h00-02(3h),731,104.5,0.3488,0.6512,0.0,0.0465,13,1.071
ATR1_H8,SL_ATR_1_0,2.0,ALL,h06-08(3h),1,break_close_location<=0.921 & win:h06-08(3h),2351,336.1,0.3488,0.6512,0.0,0.0464,18,1.071
ATR1_H8,SL_ATR_1_0,2.0,ALL,h13-15(3h),1,break_close_location<=0.921 & win:h13-15(3h),2627,375.5,0.3487,0.6509,0.0004,0.0468,20,1.072
ATR1_H8,SL_ATR_1_0,2.0,high_vol,h23-01(3h),0,sym:high_vol & win:h23-01(3h),815,116.5,0.3485,0.6515,0.0,0.0454,15,1.07
ATR1_H8,SL_ATR_1_0,2.0,ALL,h14,1,break_close_location<=0.921 & win:h14,947,135.4,0.3485,0.6515,0.0,0.0454,15,1.07
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h11-13(3h),0,sym:jpy_pairs & win:h11-13(3h),841,120.2,0.3484,0.6385,0.0131,0.072,17,1.113
ATR1_H8,SL_ATR_1_0,2.0,nzd_bloc,london_ny,1,break_close_location<=0.921 & sym:nzd_bloc & win:london_ny,2137,305.5,0.3482,0.6518,0.0,0.0445,27,1.068
AOI_FAR,SL_AOI_FAR,2.0,ALL,asia_ld,1,bearish_aoi_midpoint>=0.545 & win:asia_ld,1735,248.0,0.3481,0.6207,0.0311,0.0914,32,1.147
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,london_ny,1,bearish_htf_mid>=0.829 & win:london_ny,1000,143.0,0.348,0.639,0.013,0.0631,16,1.098
ATR1_H8,SL_ATR_1_0,2.0,ALL,h01-02,1,break_close_location<=0.921 & win:h01-02,1592,227.6,0.348,0.6514,0.0006,0.0455,14,1.07
ATR1_H8,SL_ATR_1_0,2.0,nzd_bloc,asia_ld,1,break_close_location<=0.921 & sym:nzd_bloc & win:asia_ld,2144,306.5,0.3479,0.6521,0.0,0.0438,24,1.067
ATR1_H8,SL_ATR_1_0,2.0,ALL,h14-15,1,break_close_location<=0.921 & win:h14-15,1714,245.0,0.3477,0.6523,0.0,0.0432,16,1.066
ATR1_H8,SL_ATR_1_0,2.0,high_vol,london_ny,1,break_close_location<=0.921 & sym:high_vol & win:london_ny,2329,332.9,0.3474,0.6522,0.0004,0.0424,19,1.065
ATR1_H8,SL_ATR_1_0,2.0,nzd_bloc,h06-08(3h),0,sym:nzd_bloc & win:h06-08(3h),717,102.5,0.3473,0.6527,0.0,0.0418,22,1.064
ATR1_H8,SL_ATR_1_0,2.0,eur_pairs,h13-15(3h),0,sym:eur_pairs & win:h13-15(3h),913,130.5,0.3472,0.6528,0.0,0.0416,18,1.064
ATR1_H8,SL_ATR_1_0,2.0,ALL,h22-23,1,break_close_location<=0.921 & win:h22-23,1544,220.7,0.3472,0.6528,0.0,0.0415,15,1.063
ATR1_H8,SL_ATR_1_0,2.0,ALL,h22-25(4h),1,break_close_location<=0.921 & win:h22-25(4h),1544,220.7,0.3472,0.6528,0.0,0.0415,15,1.063
ATR1_H8,SL_ATR_1_0,2.0,high_vol,h08-10(3h),0,sym:high_vol & win:h08-10(3h),784,112.1,0.3469,0.6531,0.0,0.0408,10,1.062
ATR1_H8,SL_ATR_1_0,2.0,usd_majors,h12-14(3h),0,sym:usd_majors & win:h12-14(3h),836,119.5,0.3469,0.6531,0.0,0.0407,17,1.062
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,asia_ld,1,break_close_location<=0.921 & sym:jpy_pairs & win:asia_ld,2433,347.8,0.3469,0.6531,0.0,0.0407,20,1.062
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h04-06(3h),0,sym:jpy_pairs & win:h04-06(3h),715,102.2,0.3469,0.6476,0.0056,0.0503,14,1.078
ATR1_H8,SL_ATR_1_0,2.0,ALL,h08-10(3h),1,break_close_location<=0.921 & win:h08-10(3h),2281,326.1,0.3468,0.6532,0.0,0.0403,15,1.062
ATR1_H8,SL_ATR_1_0,2.0,ALL,h15,1,break_close_location<=0.921 & win:h15,767,109.6,0.3468,0.6532,0.0,0.0404,13,1.062
ATR1_H8,SL_ATR_1_0,2.0,ALL,h12-15(4h),1,break_close_location<=0.921 & win:h12-15(4h),3377,482.8,0.3462,0.6529,0.0009,0.0397,22,1.061
ATR1_H8,SL_ATR_1_0,2.0,ALL,h07,1,break_close_location<=0.921 & win:h07,829,118.5,0.3462,0.6538,0.0,0.0386,16,1.059
ATR1_H8,SL_ATR_1_0,2.0,ALL,h12-14(3h),1,break_close_location<=0.921 & win:h12-14(3h),2610,373.1,0.346,0.6529,0.0011,0.0395,18,1.06
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,h11-13(3h),0,sym:jpy_pairs & win:h11-13(3h),841,120.2,0.346,0.6147,0.0392,0.1017,15,1.165
ATR1_H8,SL_ATR_1_0,2.0,nzd_bloc,h23-01(3h),0,sym:nzd_bloc & win:h23-01(3h),821,117.4,0.3459,0.6541,0.0,0.0378,14,1.058
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h08,0,win:h08,963,137.7,0.3458,0.6428,0.0114,0.0539,13,1.084
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h06-09(4h),0,sym:jpy_pairs & win:h06-09(4h),1088,155.5,0.3456,0.6406,0.0138,0.0584,13,1.091
ATR1_H8,SL_ATR_1_0,2.0,high_vol,ny,1,break_close_location<=0.921 & sym:high_vol & win:ny,1149,164.3,0.3455,0.6536,0.0009,0.0373,16,1.057
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h07-09(3h),0,sym:jpy_pairs & win:h07-09(3h),828,118.4,0.3454,0.6377,0.0169,0.0621,12,1.097
AOI_FAR,SL_AOI_FAR,2.0,ALL,london,1,bearish_aoi_midpoint>=0.545 & win:london,933,133.4,0.3451,0.6174,0.0375,0.0913,17,1.147
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,usd_majors,h22-00(3h),0,sym:usd_majors & win:h22-00(3h),710,101.5,0.3451,0.6507,0.0042,0.0414,13,1.064
ATR1_H8,SL_ATR_1_0,2.0,ALL,h06-09(4h),1,break_close_location<=0.921 & win:h06-09(4h),3138,448.6,0.3451,0.6549,0.0,0.0354,19,1.054
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h08-10(3h),0,sym:jpy_pairs & win:h08-10(3h),797,113.9,0.345,0.655,0.0,0.0351,13,1.054
ATR1_H8,SL_ATR_1_0,2.0,ALL,h04-05,1,break_close_location<=0.921 & win:h04-05,1096,156.7,0.3449,0.6551,0.0,0.0347,13,1.053
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h10-13(4h),0,sym:jpy_pairs & win:h10-13(4h),1102,157.5,0.3448,0.6434,0.0118,0.0582,16,1.09
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h05-07(3h),0,sym:jpy_pairs & win:h05-07(3h),821,117.4,0.3447,0.6468,0.0085,0.049,17,1.076
ATR1_H8,SL_ATR_1_0,2.0,usd_majors,h23-01(3h),0,sym:usd_majors & win:h23-01(3h),740,105.8,0.3446,0.6554,0.0,0.0338,18,1.052
ATR1_H8,SL_ATR_1_0,2.0,ALL,h12-13,1,break_close_location<=0.921 & win:h12-13,1663,237.7,0.3446,0.6536,0.0018,0.0361,18,1.055
ATR1_H8,SL_ATR_1_0,2.0,high_vol,h04-07(4h),1,break_close_location<=0.921 & sym:high_vol & win:h04-07(4h),711,101.6,0.3446,0.6554,0.0,0.0338,14,1.052
ATR1_H8,SL_ATR_1_0,2.0,eur_pairs,h12-14(3h),1,break_close_location<=0.921 & sym:eur_pairs & win:h12-14(3h),717,102.5,0.3445,0.6527,0.0028,0.0366,14,1.056
ATR1_H8,SL_ATR_1_0,2.0,high_vol,h10-13(4h),1,break_close_location<=0.921 & sym:high_vol & win:h10-13(4h),807,115.4,0.3445,0.6543,0.0012,0.0345,12,1.053
ATR1_H8,SL_ATR_1_0,2.0,usd_majors,h14-17(4h),1,break_close_location<=0.921 & sym:usd_majors & win:h14-17(4h),720,102.9,0.3444,0.6542,0.0014,0.0361,18,1.055
ATR1_H8,SL_ATR_1_0,2.0,eur_pairs,off_hours,1,break_close_location<=0.921 & sym:eur_pairs & win:off_hours,1659,237.2,0.3442,0.6558,0.0,0.0325,14,1.05
ATR1_H8,SL_ATR_1_0,2.0,gbp_pairs,h02-05(4h),0,sym:gbp_pairs & win:h02-05(4h),817,116.8,0.3439,0.6548,0.0012,0.0349,10,1.053
ATR1_H8,SL_ATR_1_0,2.0,usd_majors,h07-09(3h),0,sym:usd_majors & win:h07-09(3h),768,109.8,0.3438,0.6562,0.0,0.0312,17,1.048
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,aud_bloc,h01-03(3h),0,sym:aud_bloc & win:h01-03(3h),765,109.4,0.3438,0.6497,0.0065,0.0392,21,1.06
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,london_ny,0,sym:jpy_pairs & win:london_ny,3285,469.6,0.3434,0.6454,0.0113,0.0504,25,1.078
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,high_vol,h02-05(4h),0,sym:high_vol & win:h02-05(4h),883,126.2,0.3431,0.6523,0.0045,0.037,14,1.057
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,chf_pairs,h10-13(4h),0,sym:chf_pairs & win:h10-13(4h),863,123.4,0.343,0.6454,0.0116,0.048,15,1.074
ATR1_H8,SL_ATR_1_0,2.0,nzd_bloc,h14-17(4h),0,sym:nzd_bloc & win:h14-17(4h),892,127.5,0.343,0.657,0.0,0.0291,13,1.044
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,nzd_bloc,h08-10(3h),0,sym:nzd_bloc & win:h08-10(3h),735,105.1,0.3429,0.6531,0.0041,0.0374,16,1.057
ATR1_H8,SL_ATR_1_0,2.0,high_vol,h14-16(3h),0,sym:high_vol & win:h14-16(3h),744,106.4,0.3427,0.6573,0.0,0.0282,21,1.043
ATR1_H8,SL_ATR_1_0,2.0,aud_bloc,h13-15(3h),0,sym:aud_bloc & win:h13-15(3h),759,108.5,0.3426,0.6574,0.0,0.0277,14,1.042
ATR1_H8,SL_ATR_1_0,2.0,high_vol,h11-13(3h),0,sym:high_vol & win:h11-13(3h),791,113.1,0.3426,0.6561,0.0013,0.0289,11,1.044
ATR1_H8,SL_ATR_1_0,2.0,eur_pairs,h01-03(3h),0,sym:eur_pairs & win:h01-03(3h),710,101.5,0.3423,0.6577,0.0,0.0268,12,1.041
ATR1_H8,SL_ATR_1_0,2.0,usd_majors,h13-15(3h),0,sym:usd_majors & win:h13-15(3h),891,127.4,0.3423,0.6577,0.0,0.0269,12,1.041
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,usd_majors,h13-15(3h),0,sym:usd_majors & win:h13-15(3h),891,127.4,0.3423,0.6341,0.0236,0.0584,12,1.092
AOI_FAR,SL_AOI_FAR,2.0,eur_pairs,off_hours,0,sym:eur_pairs & win:off_hours,2278,325.7,0.342,0.6374,0.0206,0.0604,23,1.095
AOI_FAR,SL_AOI_FAR,2.0,eur_pairs,h02-05(4h),0,sym:eur_pairs & win:h02-05(4h),834,119.2,0.3417,0.6391,0.0192,0.0564,15,1.088
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,asia,1,break_close_location<=0.921 & sym:jpy_pairs & win:asia,1180,168.7,0.3415,0.6585,0.0,0.0246,15,1.037
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,eur_pairs,h00-02(3h),0,sym:eur_pairs & win:h00-02(3h),776,110.9,0.3415,0.6521,0.0064,0.0343,14,1.053
ATR1_H8,SL_ATR_1_0,2.0,aud_bloc,h12-14(3h),0,sym:aud_bloc & win:h12-14(3h),765,109.4,0.3412,0.6588,0.0,0.0235,14,1.036
ATR1_H8,SL_ATR_1_0,2.0,jpy_pairs,h08-11(4h),1,break_close_location<=0.921 & sym:jpy_pairs & win:h08-11(4h),818,116.9,0.3411,0.6589,0.0,0.0232,25,1.035
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,ny,0,sym:jpy_pairs & win:ny,1683,240.6,0.3405,0.6067,0.0529,0.1038,15,1.17
ATR1_H8,SL_ATR_1_0,2.0,usd_majors,ny,1,break_close_location<=0.921 & sym:usd_majors & win:ny,1122,160.4,0.3405,0.6586,0.0009,0.0232,18,1.035
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,h12-15(4h),0,sym:jpy_pairs & win:h12-15(4h),1219,174.3,0.3404,0.6005,0.0591,0.1112,15,1.183
ATR1_H8,SL_ATR_1_0,2.0,usd_majors,h06-09(4h),1,break_close_location<=0.921 & sym:usd_majors & win:h06-09(4h),779,111.4,0.3402,0.6598,0.0,0.0205,15,1.031
ATR1_H8,SL_ATR_1_0,2.0,usd_majors,london_ny,1,break_close_location<=0.921 & sym:usd_majors & win:london_ny,2252,321.9,0.3401,0.6594,0.0004,0.0213,22,1.032
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h13,0,win:h13,1191,170.3,0.3401,0.6381,0.0218,0.0562,21,1.088
ATR1_H8,SL_ATR_1_0,2.0,usd_majors,h12-15(4h),1,break_close_location<=0.921 & sym:usd_majors & win:h12-15(4h),830,118.7,0.3398,0.6602,0.0,0.0193,14,1.029
ATR1_H8,SL_ATR_1_0,2.0,usd_majors,london,1,break_close_location<=0.921 & sym:usd_majors & win:london,1130,161.5,0.3398,0.6602,0.0,0.0195,15,1.029
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h14-17(4h),0,sym:jpy_pairs & win:h14-17(4h),1095,156.5,0.3397,0.6521,0.0082,0.0346,21,1.053
ATR1_H8,SL_ATR_1_0,2.0,ALL,h02,1,break_close_location<=0.921 & win:h02,733,104.8,0.3397,0.6589,0.0014,0.0225,16,1.034
ATR1_H8,SL_ATR_1_0,2.0,high_vol,asia_ld,1,break_close_location<=0.921 & sym:high_vol & win:asia_ld,2291,327.5,0.3396,0.66,0.0004,0.0199,21,1.03
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,eur_pairs,h11-13(3h),0,sym:eur_pairs & win:h11-13(3h),869,124.2,0.3395,0.6433,0.0173,0.0477,22,1.074
ATR1_H8,SL_ATR_1_0,2.0,aud_bloc,h10-13(4h),1,break_close_location<=0.921 & sym:aud_bloc & win:h10-13(4h),713,101.9,0.3394,0.6606,0.0,0.0182,13,1.028
ATR1_H8,SL_ATR_1_0,2.0,usd_majors,h22-00(3h),0,sym:usd_majors & win:h22-00(3h),710,101.5,0.3394,0.6606,0.0,0.0183,15,1.028
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,aud_bloc,h02-05(4h),0,sym:aud_bloc & win:h02-05(4h),878,125.5,0.3394,0.6572,0.0034,0.0221,19,1.034
ATR1_H8,SL_ATR_1_0,2.0,usd_majors,h08-11(4h),1,break_close_location<=0.921 & sym:usd_majors & win:h08-11(4h),725,103.6,0.3393,0.6607,0.0,0.0179,13,1.027
ATR1_H8,SL_ATR_1_0,2.0,nzd_bloc,h00-03(4h),1,break_close_location<=0.921 & sym:nzd_bloc & win:h00-03(4h),793,113.4,0.3392,0.6608,0.0,0.0177,23,1.027
