seed,sl_model,rr_multiple,sym_filter,window,n_feature_gates,gates,n_trades,trades_per_year,win_pct,sl_pct,timeout_pct,expectancy_r,max_losing_streak,profit_factor
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h02-05(4h),0,sym:high_vol & win:h02-05(4h),883,126.2,0.3307,0.6478,0.0215,0.0246,18,1.038
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h08-11(4h),0,sym:jpy_pairs & win:h08-11(4h),1050,150.1,0.3305,0.6571,0.0124,0.0124,15,1.019
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,high_vol,h07-09(3h),0,sym:high_vol & win:h07-09(3h),778,111.2,0.3303,0.653,0.0167,0.0192,16,1.029
AOI_FAR,SL_AOI_FAR,2.0,chf_pairs,h10-13(4h),0,sym:chf_pairs & win:h10-13(4h),863,123.4,0.3302,0.6234,0.0463,0.0524,11,1.083
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h12-13,0,win:h12-13,2220,317.4,0.3302,0.6468,0.023,0.0282,27,1.044
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h13-14,0,win:h13-14,2427,347.0,0.33,0.644,0.026,0.028,18,1.043
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h21-23(3h),0,sym:high_vol & win:h21-23(3h),709,101.4,0.33,0.6488,0.0212,0.0255,14,1.039
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,usd_majors,h11-13(3h),0,sym:usd_majors & win:h11-13(3h),776,110.9,0.3299,0.6456,0.0245,0.031,16,1.048
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,high_vol,h08-11(4h),0,sym:high_vol & win:h08-11(4h),1037,148.2,0.3298,0.6596,0.0106,0.0088,17,1.013
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h13-15(3h),0,win:h13-15(3h),3444,492.3,0.3298,0.6475,0.0226,0.0221,16,1.034
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,nzd_bloc,h14-17(4h),0,sym:nzd_bloc & win:h14-17(4h),892,127.5,0.3296,0.6592,0.0112,0.0083,11,1.013
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h15,0,win:h15,1017,145.4,0.3294,0.6559,0.0147,0.0081,22,1.012
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,h15-17(3h),0,sym:jpy_pairs & win:h15-17(3h),738,105.5,0.3293,0.626,0.0447,0.061,12,1.097
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h12-14(3h),0,sym:high_vol & win:h12-14(3h),863,123.4,0.3291,0.6141,0.0568,0.0724,16,1.117
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,chf_pairs,h12-14(3h),0,sym:chf_pairs & win:h12-14(3h),717,102.5,0.3291,0.6513,0.0195,0.0177,11,1.027
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,h06-09(4h),0,sym:jpy_pairs & win:h06-09(4h),1088,155.5,0.329,0.6342,0.0368,0.0346,20,1.054
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,usd_majors,h12-14(3h),0,sym:usd_majors & win:h12-14(3h),836,119.5,0.3289,0.64,0.0311,0.0356,13,1.055
