cell,param,direction,stability_score,n_years_tested,avg_lift_pp,years_detail
eur|bearish,session_directional_bias,mostly_down,4,7,4.3,"2019:up,2020:up,2021:down,2022:down,2023:up,2024:down,2025:down"
eur|bearish,break_close_location,mostly_down,4,7,2.74,"2019:up,2020:down,2021:down,2022:up,2023:down,2024:down,2025:up"
eur|bearish,break_impulse_range_atr,mostly_down,5,7,5.8,"2019:down,2020:down,2021:up,2022:up,2023:down,2024:down,2025:down"
eur|bearish,break_impulse_body_atr,mostly_down,6,7,3.14,"2019:down,2020:down,2021:down,2022:up,2023:down,2024:down,2025:down"
eur|bearish,retest_candle_body_penetration,mostly_up,4,7,2.64,"2019:up,2020:down,2021:up,2022:up,2023:down,2024:up,2025:down"
eur|bearish,aoi_height_atr,mostly_down,4,6,4.31,"2019:down,2020:down,2021:up,2022:down,2024:down,2025:up"
eur|bearish,distance_to_next_htf_obstacle_atr,mostly_up,5,7,4.09,"2019:up,2020:up,2021:up,2022:up,2023:down,2024:down,2025:up"
eur|bearish,distance_from_last_impulse_atr,mostly_up,4,7,2.69,"2019:up,2020:up,2021:down,2022:up,2023:down,2024:up,2025:down"
eur|bearish,recent_trend_payoff_atr_24h,mostly_down,5,7,3.54,"2019:up,2020:down,2021:down,2022:down,2023:down,2024:up,2025:down"
eur|bearish,recent_trend_payoff_atr_48h,mostly_down,4,7,4.96,"2019:up,2020:down,2021:down,2022:up,2023:down,2024:down,2025:up"
eur|bearish,aoi_time_since_last_touch,mostly_down,4,7,2.19,"2019:up,2020:up,2021:down,2022:up,2023:down,2024:down,2025:down"
eur|bearish,aoi_last_reaction_strength,mostly_up,4,7,5.49,"2019:up,2020:down,2021:up,2022:up,2023:down,2024:up,2025:down"
eur|bearish,htf_range_size_mid_atr,mostly_up,5,7,5.39,"2019:down,2020:up,2021:up,2022:up,2023:up,2024:down,2025:up"
eur|bearish,aoi_midpoint_range_position_mid,mostly_up,4,7,3.31,"2019:down,2020:up,2021:down,2022:up,2023:down,2024:up,2025:up"
eur|bearish,trend_age_bars_1h,mostly_up,4,7,6.44,"2019:up,2020:down,2021:up,2022:up,2023:down,2024:up,2025:down"
eur|bearish,trend_age_impulses,mostly_down,5,7,3.49,"2019:down,2020:up,2021:down,2022:up,2023:down,2024:down,2025:down"
eur|bearish,max_retest_penetration_atr,mostly_down,4,7,3.59,"2019:up,2020:down,2021:up,2022:up,2023:down,2024:down,2025:down"
eur|bearish,bars_between_retest_and_break,mostly_down,5,7,5.16,"2019:up,2020:down,2021:down,2022:up,2023:down,2024:down,2025:down"
