sl_model,n_groups,gate_label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
SL_ATR_1_0,6,aoi_far_edge_atr>=1.5 & distance_to_next_htf_obstacle_atr>=0.25,1367,195.4,0.3848,0.1544,15,1.251
SL_ATR_1_0,6,htf_dir>=0.4,1539,220.0,0.3847,0.1552,14,1.252
SL_ATR_0_5,2,bars_between_retest_and_break<=3 & max_retest_penetration_atr<=1.25,1167,166.8,0.3847,0.1542,17,1.251
SL_ATR_0_5,2,htf_range_size_mid_atr>=10,1605,229.4,0.3844,0.1533,18,1.249
SL_ATR_1_0,6,break_close_location>=0.65,2146,306.8,0.3844,0.1546,17,1.251
SL_ATR_0_5,2,no_gate,1626,232.4,0.3844,0.1531,18,1.249
SL_ATR_0_5,2,trend_age_impulses>=5,1023,146.2,0.3842,0.1525,17,1.248
SL_ATR_1_0,6,bars_between_retest_and_break<=3 & break_close_location>=0.65,1716,245.3,0.384,0.1537,14,1.25
SL_ATR_0_5,2,bars_between_retest_and_break<=2 & htf_range_size_mid_atr>=10,1203,172.0,0.384,0.1521,15,1.247
SL_ATR_0_5,2,htf_dir>=0.4,857,122.5,0.3839,0.1517,13,1.246
SL_ATR_0_5,2,aoi_far_edge_atr>=1.0,1592,227.6,0.3838,0.1514,18,1.246
SL_SIGNAL_CANDLE,1,break_close_location>=0.65,740,105.8,0.3838,0.1875,14,1.313
SL_ATR_1_0,6,bars_between_retest_and_break<=2 & aoi_far_edge_atr>=1.5,1459,208.6,0.3838,0.1515,16,1.246
SL_ATR_0_5,2,aoi_near_edge_atr>=0.25,1105,158.0,0.3837,0.1511,12,1.245
SL_ATR_1_0,6,aoi_far_edge_atr>=1.5,2017,288.3,0.3837,0.1512,19,1.245
SL_ATR_0_5,2,signal_candle_opposite_extreme_atr>=0.25,1614,230.7,0.3835,0.1506,18,1.244
SL_ATR_0_5,2,bars_between_retest_and_break<=2 & aoi_near_edge_atr>=0.25,850,121.5,0.3835,0.1506,13,1.244
SL_ATR_0_5,2,break_close_location>=0.5 & distance_to_next_htf_obstacle_atr>=0.25,1072,153.2,0.3834,0.1502,12,1.244
SL_ATR_1_0,6,trend_age_impulses>=5,2006,286.8,0.3833,0.15,14,1.243
SL_ATR_1_5,1,htf_range_size_mid_atr>=15,788,112.6,0.3832,0.1644,14,1.27
SL_ATR_1_0,6,break_close_location>=0.7,1887,269.8,0.3831,0.1499,15,1.243
SL_ATR_1_0,6,aoi_near_edge_atr>=0.25,1642,234.7,0.3831,0.1503,19,1.244
SL_ATR_1_0,6,distance_to_next_htf_obstacle_atr>=0.75,1029,147.1,0.3829,0.1505,12,1.244
SL_SIGNAL_CANDLE,1,bars_between_retest_and_break<=2,713,101.9,0.3829,0.172,17,1.284
SL_AOI_NEAR_PLUS_0_25,1,trend_age_impulses>=3,865,123.7,0.3827,0.1526,13,1.248
SL_ATR_1_0,6,bear_htf>=0.7&bull_htf>=0.3,1500,214.4,0.3827,0.1486,18,1.241
SL_AOI_NEAR_PLUS_0_25,1,bars_between_retest_and_break<=4,844,120.7,0.3827,0.1499,12,1.243
SL_ATR_0_5,2,bars_between_retest_and_break<=2 & distance_to_next_htf_obstacle_atr>=0.25,918,131.2,0.3824,0.1471,13,1.238
SL_AOI_NEAR_PLUS_0_5,1,break_close_location>=0.65,740,105.8,0.3824,0.1664,14,1.274
SL_ATR_0_5,2,htf_dir>=0.5,722,103.2,0.3823,0.1468,12,1.238
SL_ATR_1_0,6,distance_to_next_htf_obstacle_atr>=0.25 & break_close_location>=0.65,1499,214.3,0.3823,0.1486,16,1.241
SL_ATR_0_5,2,htf_range_mid>=0.4,971,138.8,0.3821,0.1462,22,1.237
SL_ATR_0_5,2,htf_range_mid>=0.5,848,121.2,0.3821,0.1462,19,1.237
SL_ATR_1_0,6,bars_between_retest_and_break<=2 & aoi_near_edge_atr>=0.25,1233,176.3,0.382,0.1475,15,1.239
SL_AOI_NEAR_PLUS_0_25,1,max_retest_penetration_atr<=1.5,801,114.5,0.382,0.151,11,1.245
SL_ATR_0_5,2,distance_to_next_htf_obstacle_atr>=0.25 & signal_candle_opposite_extreme_atr>=0.35,1132,161.8,0.3816,0.1449,13,1.234
SL_ATR_0_5,2,bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.5,758,108.4,0.3813,0.1438,19,1.232
SL_ATR_0_5,2,distance_to_next_htf_obstacle_atr>=0.5 & bars_between_retest_and_break<=3,758,108.4,0.3813,0.1438,19,1.232
SL_ATR_0_5,2,bear_htf>=0.4&bull_htf>=0.3,1026,146.7,0.3811,0.1433,22,1.231
SL_ATR_1_0,6,distance_from_last_impulse_atr>=1.0,1262,180.4,0.3811,0.1449,13,1.234
SL_ATR_1_0,6,distance_to_next_htf_obstacle_atr>=0.25 & aoi_near_edge_atr>=0.25,1103,157.7,0.3808,0.144,15,1.233
SL_ATR_0_5,2,htf_dir>=0.45,788,112.6,0.3807,0.1421,12,1.23
SL_ATR_1_0,6,max_retest_penetration_atr<=1.25,2380,340.2,0.3807,0.1431,17,1.231
SL_ATR_1_0,6,aoi_far_edge_atr>=1.5 & bars_between_retest_and_break<=3,1591,227.4,0.3803,0.1408,17,1.227
SL_ATR_0_5,2,htf_dir>=0.4 & bars_between_retest_and_break<=3,710,101.5,0.3803,0.1408,12,1.227
SL_ATR_1_0,6,bars_between_retest_and_break<=2 & distance_to_next_htf_obstacle_atr>=0.25,1623,232.0,0.3802,0.1421,16,1.23
SL_AOI_NEAR_PLUS_0_5,1,signal_candle_opposite_extreme_atr>=0.5,863,123.4,0.3801,0.1544,16,1.252
SL_AOI_NEAR_PLUS_0_5,1,bars_between_retest_and_break<=2,713,101.9,0.3801,0.1567,12,1.257
SL_AOI_NEAR_PLUS_0_25,1,bars_between_retest_and_break<=2,742,106.1,0.3801,0.1422,11,1.23
SL_ATR_1_0,6,distance_to_next_htf_obstacle_atr>=1.0,716,102.4,0.3799,0.1422,10,1.23
SL_ATR_1_0,6,htf_range_mid>=0.4,1727,246.9,0.3798,0.14,16,1.226
SL_ATR_1_0,6,bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.25,1773,253.5,0.3796,0.1403,16,1.226
SL_AOI_FAR,1,htf_range_size_mid_atr>=15,741,105.9,0.3792,0.172,14,1.287
SL_ATR_0_5,2,distance_to_next_htf_obstacle_atr>=0.25,1169,167.1,0.379,0.1369,13,1.22
SL_ATR_1_0,6,bars_between_retest_and_break<=1,1837,262.6,0.3789,0.1381,18,1.223
SL_ATR_1_5,1,htf_range_size_mid_atr>=10,929,132.8,0.3789,0.1565,12,1.257
SL_AOI_NEAR_PLUS_0_5,1,htf_range_size_mid_atr>=10,929,132.8,0.3789,0.1499,16,1.244
SL_ATR_1_5,1,break_close_location>=0.5,871,124.5,0.3789,0.1624,12,1.268
SL_ATR_1_0,6,max_retest_penetration_atr<=1.0 & signal_candle_opposite_extreme_atr>=0.5,1470,210.1,0.3789,0.1367,17,1.22
SL_SIGNAL_CANDLE,1,signal_candle_opposite_extreme_atr>=0.5,863,123.4,0.3789,0.1706,14,1.282
SL_SIGNAL_CANDLE,1,htf_range_size_mid_atr>=10,929,132.8,0.3789,0.1681,16,1.278
