n_groups,groups,group_config,gate_label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,distance_from_last_impulse_atr>=0.5,1619,231.4,0.3817,0.1541,12,1.251
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,aoi_far_edge_atr>=1.5,1676,239.6,0.3807,0.1546,12,1.253
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,htf_range_mid>=0.4,1448,207.0,0.3805,0.1508,13,1.246
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,break_close_location>=0.65 & max_retest_penetration_atr<=1.25,1476,211.0,0.3801,0.153,15,1.25
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,max_retest_penetration_atr<=1.0,1585,226.6,0.3798,0.1498,19,1.244
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,distance_from_last_impulse_atr>=1.0,1040,148.7,0.3798,0.1514,10,1.247
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,htf_range_mid>=0.4 & break_close_location>=0.65,1130,161.5,0.3796,0.1489,14,1.242
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,htf_range_mid>=0.4 & distance_to_next_htf_obstacle_atr>=0.25,1006,143.8,0.3787,0.1422,11,1.23
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,htf_range_size_mid_atr>=20,1350,193.0,0.377,0.1361,11,1.22
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,distance_to_next_htf_obstacle_atr>=0.25 & max_retest_penetration_atr<=1.25,1405,200.9,0.3765,0.1378,13,1.223
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,break_close_location>=0.7 & max_retest_penetration_atr<=1.25,1339,191.4,0.3764,0.1419,12,1.23
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,max_retest_penetration_atr<=1.25,1923,274.9,0.376,0.1388,14,1.225
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,distance_to_next_htf_obstacle_atr>=0.25,1743,249.2,0.3758,0.1347,17,1.217
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,aoi_far_edge_atr>=1.5 & distance_to_next_htf_obstacle_atr>=0.25,1139,162.8,0.3758,0.1362,17,1.22
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,break_close_location>=0.5 & distance_to_next_htf_obstacle_atr>=0.25,1586,226.7,0.3758,0.1355,15,1.219
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,max_retest_penetration_atr<=1.25 & signal_candle_opposite_extreme_atr>=0.35,1682,240.5,0.3757,0.1397,13,1.226
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,htf_range_size_mid_atr>=15,2091,298.9,0.3754,0.1316,12,1.212
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,aoi_near_edge_atr>=0.25,1327,189.7,0.3753,0.1392,14,1.225
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,break_close_location>=0.65,1908,272.8,0.3753,0.1363,15,1.22
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,max_retest_penetration_atr<=1.5,2166,309.6,0.3753,0.1363,14,1.22
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,distance_to_next_htf_obstacle_atr>=0.25 & signal_candle_opposite_extreme_atr>=0.35,1516,216.7,0.3747,0.1325,14,1.214
