gate,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
break_impulse_range_atr<=0.77  &  break_impulse_range_atr<=1.06,788,112.6,0.4391,0.3202,10,1.572
break_impulse_range_atr<=0.77  &  signal_candle_opposite_extreme_atr<=0.83,788,112.6,0.4391,0.3202,10,1.572
aoi_height_atr<=1.14  &  aoi_touch_count_since_creation<=6.0,714,102.1,0.4384,0.3468,14,1.641
aoi_touch_count_since_creation<=4.0  &  aoi_touch_count_since_creation<=6.0,1653,236.3,0.4374,0.3219,12,1.579
aoi_near_edge_atr<=0.13  &  aoi_near_edge_atr<=0.3,805,115.1,0.4373,0.3145,11,1.56
aoi_midpoint_range_position_mid<=0.5  &  signal_candle_opposite_extreme_atr<=0.83,837,119.7,0.4373,0.3165,9,1.565
aoi_near_edge_atr<=0.3  &  signal_candle_opposite_extreme_atr<=0.83,1144,163.5,0.4362,0.3086,12,1.547
break_impulse_body_atr<=0.61  &  signal_candle_opposite_extreme_atr<=0.83,1334,190.7,0.434,0.3061,12,1.543
session_directional_bias>=-0.38  &  signal_candle_opposite_extreme_atr<=0.83,682,97.5,0.434,0.3021,8,1.534
aoi_near_edge_atr<=0.13  &  signal_candle_opposite_extreme_atr<=0.83,618,88.3,0.4337,0.301,11,1.531
break_impulse_range_atr<=1.06  &  session_directional_bias>=-0.38,681,97.4,0.4273,0.2848,9,1.5
