bear_gate,bull_gate,gate_combined,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
htf_pos>=0.78,aoi_near_edge_atr<=0.14,bear[htf_pos>=0.78]  +  bull[aoi_near_edge_atr<=0.14],1089,155.7,0.4444,0.3354,13,1.605
aoi_near_edge_atr<=0.29,aoi_near_edge_atr<=0.14,bear[aoi_near_edge_atr<=0.29]  +  bull[aoi_near_edge_atr<=0.14],1171,167.4,0.4441,0.3341,12,1.602
htf_range_size_mid_atr>=25.16,signal_candle_opposite_extreme_atr<=0.87,bear[htf_range_size_mid_atr>=25.16]  +  bull[signal_candle_opposite_extreme_atr<=0.87],1203,172.0,0.4439,0.3336,15,1.601
htf_range_size_mid_atr>=20.14,signal_candle_opposite_extreme_atr<=0.58,bear[htf_range_size_mid_atr>=20.14]  +  bull[signal_candle_opposite_extreme_atr<=0.58],1165,166.5,0.4438,0.3369,18,1.609
htf_range_size_mid_atr>=20.14,aoi_height_atr<=1.12,bear[htf_range_size_mid_atr>=20.14]  +  bull[aoi_height_atr<=1.12],1172,167.5,0.4437,0.3522,12,1.648
break_impulse_body_atr<=0.59,aoi_midpoint_range_position_mid<=0.43,bear[break_impulse_body_atr<=0.59]  +  bull[aoi_midpoint_range_position_mid<=0.43],1170,167.3,0.4436,0.3377,14,1.612
max_retest_penetration_atr<=0.74,session_directional_bias>=0.2,bear[max_retest_penetration_atr<=0.74]  +  bull[session_directional_bias>=0.2],1073,153.4,0.4436,0.3402,12,1.617
htf_pos>=0.78,aoi_last_reaction_strength>=0.84,bear[htf_pos>=0.78]  +  bull[aoi_last_reaction_strength>=0.84],1017,145.4,0.4435,0.3377,12,1.61
break_impulse_body_atr<=0.59,break_close_location<=0.67,bear[break_impulse_body_atr<=0.59]  +  bull[break_close_location<=0.67],1166,166.7,0.4434,0.3329,13,1.6
htf_pos>=0.78,distance_from_last_impulse_atr<=0.38,bear[htf_pos>=0.78]  +  bull[distance_from_last_impulse_atr<=0.38],1096,156.7,0.4434,0.3303,15,1.593
htf_range_size_mid_atr>=25.16,break_impulse_body_atr<=0.64,bear[htf_range_size_mid_atr>=25.16]  +  bull[break_impulse_body_atr<=0.64],1193,170.5,0.4434,0.3345,16,1.604
break_impulse_body_atr<=0.59,break_impulse_range_atr<=1.14,bear[break_impulse_body_atr<=0.59]  +  bull[break_impulse_range_atr<=1.14],1579,225.7,0.4433,0.3317,18,1.597
htf_range_size_mid_atr>=20.14,break_impulse_body_atr<=0.37,bear[htf_range_size_mid_atr>=20.14]  +  bull[break_impulse_body_atr<=0.37],1162,166.1,0.4432,0.3352,19,1.605
aoi_touch_count_since_creation<=6.0,session_directional_bias>=0.2,bear[aoi_touch_count_since_creation<=6.0]  +  bull[session_directional_bias>=0.2],1530,218.7,0.4431,0.3411,17,1.62
aoi_near_edge_atr<=0.29,distance_from_last_impulse_atr<=0.38,bear[aoi_near_edge_atr<=0.29]  +  bull[distance_from_last_impulse_atr<=0.38],1178,168.4,0.4431,0.3294,14,1.591
aoi_near_edge_atr<=0.29,aoi_last_reaction_strength>=0.84,bear[aoi_near_edge_atr<=0.29]  +  bull[aoi_last_reaction_strength>=0.84],1099,157.1,0.4431,0.3362,12,1.607
htf_pos>=0.78,aoi_far_edge_atr<=1.43,bear[htf_pos>=0.78]  +  bull[aoi_far_edge_atr<=1.43],1099,157.1,0.4431,0.3355,12,1.607
htf_pos>=0.78,recent_trend_payoff_atr_48h<=-3.34,bear[htf_pos>=0.78]  +  bull[recent_trend_payoff_atr_48h<=-3.34],1097,156.8,0.443,0.3373,15,1.611
aoi_near_edge_atr<=0.29,aoi_far_edge_atr<=1.43,bear[aoi_near_edge_atr<=0.29]  +  bull[aoi_far_edge_atr<=1.43],1181,168.8,0.4428,0.3342,12,1.604
aoi_near_edge_atr<=0.29,recent_trend_payoff_atr_48h<=-3.34,bear[aoi_near_edge_atr<=0.29]  +  bull[recent_trend_payoff_atr_48h<=-3.34],1179,168.5,0.4427,0.3359,13,1.608
break_impulse_body_atr<=0.34,recent_trend_payoff_atr_24h<=-0.38,bear[break_impulse_body_atr<=0.34]  +  bull[recent_trend_payoff_atr_24h<=-0.38],1193,170.5,0.4426,0.338,11,1.613
break_impulse_body_atr<=0.34,aoi_near_edge_atr<=0.32,bear[break_impulse_body_atr<=0.34]  +  bull[aoi_near_edge_atr<=0.32],1187,169.7,0.4423,0.33,11,1.594
htf_pos>=0.78,break_impulse_range_atr<=0.83,bear[htf_pos>=0.78]  +  bull[break_impulse_range_atr<=0.83],1092,156.1,0.4423,0.3269,18,1.586
htf_range_size_mid_atr>=20.14,aoi_near_edge_atr<=0.14,bear[htf_range_size_mid_atr>=20.14]  +  bull[aoi_near_edge_atr<=0.14],1160,165.8,0.4422,0.3342,15,1.604
break_impulse_range_atr<=0.97,aoi_height_atr<=1.12,bear[break_impulse_range_atr<=0.97]  +  bull[aoi_height_atr<=1.12],1167,166.8,0.4422,0.3448,11,1.631
break_impulse_range_atr<=0.97,signal_candle_opposite_extreme_atr<=0.58,bear[break_impulse_range_atr<=0.97]  +  bull[signal_candle_opposite_extreme_atr<=0.58],1160,165.8,0.4422,0.3294,13,1.592
break_impulse_body_atr<=0.34,distance_from_last_impulse_atr>=0.93,bear[break_impulse_body_atr<=0.34]  +  bull[distance_from_last_impulse_atr>=0.93],1192,170.4,0.4421,0.3386,11,1.615
aoi_near_edge_atr<=0.29,break_impulse_range_atr<=0.83,bear[aoi_near_edge_atr<=0.29]  +  bull[break_impulse_range_atr<=0.83],1174,167.8,0.4421,0.3262,11,1.585
htf_pos>=0.78,distance_from_last_impulse_atr>=2.23,bear[htf_pos>=0.78]  +  bull[distance_from_last_impulse_atr>=2.23],1097,156.8,0.4421,0.3317,16,1.598
aoi_near_edge_atr<=0.29,distance_from_last_impulse_atr>=2.23,bear[aoi_near_edge_atr<=0.29]  +  bull[distance_from_last_impulse_atr>=2.23],1179,168.5,0.4419,0.3307,14,1.596
break_impulse_range_atr<=0.97,break_impulse_body_atr<=0.37,bear[break_impulse_range_atr<=0.97]  +  bull[break_impulse_body_atr<=0.37],1157,165.4,0.4417,0.3276,11,1.588
recent_trend_payoff_atr_48h<=0.16,signal_candle_opposite_extreme_atr<=0.58,bear[recent_trend_payoff_atr_48h<=0.16]  +  bull[signal_candle_opposite_extreme_atr<=0.58],1166,166.7,0.4417,0.3356,16,1.608
aoi_touch_count_since_creation<=4.0,recent_trend_payoff_atr_24h<=-0.38,bear[aoi_touch_count_since_creation<=4.0]  +  bull[recent_trend_payoff_atr_24h<=-0.38],1592,227.6,0.4416,0.3348,11,1.607
max_retest_penetration_atr<=0.46,recent_trend_payoff_atr_24h<=-0.38,bear[max_retest_penetration_atr<=0.46]  +  bull[recent_trend_payoff_atr_24h<=-0.38],1191,170.3,0.4416,0.338,12,1.614
htf_pos>=0.78,break_impulse_range_atr<=1.14,bear[htf_pos>=0.78]  +  bull[break_impulse_range_atr<=1.14],1506,215.3,0.4416,0.3255,15,1.584
recent_trend_payoff_atr_48h<=0.16,aoi_height_atr<=1.12,bear[recent_trend_payoff_atr_48h<=0.16]  +  bull[aoi_height_atr<=1.12],1173,167.7,0.4416,0.3509,13,1.647
aoi_touch_count_since_creation<=4.0,aoi_near_edge_atr<=0.32,bear[aoi_touch_count_since_creation<=4.0]  +  bull[aoi_near_edge_atr<=0.32],1586,226.7,0.4414,0.3288,12,1.592
max_retest_penetration_atr<=0.46,aoi_near_edge_atr<=0.32,bear[max_retest_penetration_atr<=0.46]  +  bull[aoi_near_edge_atr<=0.32],1185,169.4,0.4414,0.33,11,1.595
aoi_near_edge_atr<=0.29,break_impulse_range_atr<=1.14,bear[aoi_near_edge_atr<=0.29]  +  bull[break_impulse_range_atr<=1.14],1588,227.0,0.4414,0.325,16,1.583
htf_range_size_mid_atr>=20.14,distance_from_last_impulse_atr<=0.38,bear[htf_range_size_mid_atr>=20.14]  +  bull[distance_from_last_impulse_atr<=0.38],1167,166.8,0.4413,0.3294,17,1.593
aoi_touch_count_since_creation<=4.0,distance_from_last_impulse_atr>=0.93,bear[aoi_touch_count_since_creation<=4.0]  +  bull[distance_from_last_impulse_atr>=0.93],1591,227.4,0.4412,0.3353,13,1.608
aoi_touch_count_since_creation<=6.0,signal_candle_opposite_extreme_atr<=0.58,bear[aoi_touch_count_since_creation<=6.0]  +  bull[signal_candle_opposite_extreme_atr<=0.58],1623,232.0,0.4412,0.3314,12,1.598
max_retest_penetration_atr<=0.46,distance_from_last_impulse_atr>=0.93,bear[max_retest_penetration_atr<=0.46]  +  bull[distance_from_last_impulse_atr>=0.93],1190,170.1,0.4412,0.3387,13,1.616
signal_candle_opposite_extreme_atr<=0.53,recent_trend_payoff_atr_24h<=-0.38,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[recent_trend_payoff_atr_24h<=-0.38],1190,170.1,0.4412,0.3338,11,1.604
aoi_far_edge_atr<=1.99,session_directional_bias>=0.2,bear[aoi_far_edge_atr<=1.99]  +  bull[session_directional_bias>=0.2],1455,208.0,0.4412,0.3304,16,1.595
htf_pos>=0.78,aoi_midpoint_range_position_mid<=0.43,bear[htf_pos>=0.78]  +  bull[aoi_midpoint_range_position_mid<=0.43],1097,156.8,0.4412,0.3295,14,1.594
htf_range_size_mid_atr>=20.14,aoi_last_reaction_strength>=0.84,bear[htf_range_size_mid_atr>=20.14]  +  bull[aoi_last_reaction_strength>=0.84],1088,155.5,0.4412,0.3363,15,1.609
aoi_touch_count_since_creation<=6.0,aoi_height_atr<=1.12,bear[aoi_touch_count_since_creation<=6.0]  +  bull[aoi_height_atr<=1.12],1630,233.0,0.4411,0.3424,12,1.626
aoi_near_edge_atr<=0.29,aoi_midpoint_range_position_mid<=0.43,bear[aoi_near_edge_atr<=0.29]  +  bull[aoi_midpoint_range_position_mid<=0.43],1179,168.5,0.4411,0.3287,15,1.592
recent_trend_payoff_atr_48h<=0.16,break_impulse_body_atr<=0.37,bear[recent_trend_payoff_atr_48h<=0.16]  +  bull[break_impulse_body_atr<=0.37],1163,166.3,0.4411,0.3339,17,1.604
break_impulse_body_atr<=0.59,signal_candle_opposite_extreme_atr<=0.87,bear[break_impulse_body_atr<=0.59]  +  bull[signal_candle_opposite_extreme_atr<=0.87],1585,226.6,0.441,0.325,16,1.583
htf_pos>=0.78,break_close_location<=0.67,bear[htf_pos>=0.78]  +  bull[break_close_location<=0.67],1093,156.2,0.441,0.3243,13,1.581
htf_range_size_mid_atr>=20.14,aoi_far_edge_atr<=1.43,bear[htf_range_size_mid_atr>=20.14]  +  bull[aoi_far_edge_atr<=1.43],1170,167.3,0.441,0.3343,13,1.606
signal_candle_opposite_extreme_atr<=0.53,aoi_near_edge_atr<=0.32,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[aoi_near_edge_atr<=0.32],1184,169.3,0.4409,0.3257,11,1.585
aoi_near_edge_atr<=0.29,break_close_location<=0.67,bear[aoi_near_edge_atr<=0.29]  +  bull[break_close_location<=0.67],1175,168.0,0.4409,0.3238,13,1.58
htf_range_size_mid_atr>=20.14,recent_trend_payoff_atr_48h<=-3.34,bear[htf_range_size_mid_atr>=20.14]  +  bull[recent_trend_payoff_atr_48h<=-3.34],1168,167.0,0.4409,0.336,16,1.61
max_retest_penetration_atr<=0.74,aoi_height_atr<=1.12,bear[max_retest_penetration_atr<=0.74]  +  bull[aoi_height_atr<=1.12],1173,167.7,0.4408,0.3421,10,1.626
max_retest_penetration_atr<=0.74,signal_candle_opposite_extreme_atr<=0.58,bear[max_retest_penetration_atr<=0.74]  +  bull[signal_candle_opposite_extreme_atr<=0.58],1166,166.7,0.4408,0.3268,14,1.587
aoi_touch_count_since_creation<=6.0,break_impulse_body_atr<=0.37,bear[aoi_touch_count_since_creation<=6.0]  +  bull[break_impulse_body_atr<=0.37],1620,231.6,0.4407,0.3302,17,1.595
signal_candle_opposite_extreme_atr<=0.53,distance_from_last_impulse_atr>=0.93,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[distance_from_last_impulse_atr>=0.93],1189,170.0,0.4407,0.3344,11,1.606
break_impulse_range_atr<=0.97,aoi_near_edge_atr<=0.14,bear[break_impulse_range_atr<=0.97]  +  bull[aoi_near_edge_atr<=0.14],1155,165.1,0.4407,0.3267,12,1.587
break_impulse_body_atr<=0.59,break_impulse_body_atr<=0.64,bear[break_impulse_body_atr<=0.59]  +  bull[break_impulse_body_atr<=0.64],1575,225.2,0.4406,0.3256,15,1.585
recent_trend_payoff_atr_48h<=2.54,session_directional_bias>=0.2,bear[recent_trend_payoff_atr_48h<=2.54]  +  bull[session_directional_bias>=0.2],1453,207.7,0.4405,0.3341,16,1.605
break_impulse_range_atr<=0.72,recent_trend_payoff_atr_24h<=-0.38,bear[break_impulse_range_atr<=0.72]  +  bull[recent_trend_payoff_atr_24h<=-0.38],1190,170.1,0.4403,0.3332,11,1.603
htf_range_size_mid_atr>=20.14,break_impulse_range_atr<=0.83,bear[htf_range_size_mid_atr>=20.14]  +  bull[break_impulse_range_atr<=0.83],1163,166.3,0.4402,0.3263,20,1.586
max_retest_penetration_atr<=0.74,break_impulse_body_atr<=0.37,bear[max_retest_penetration_atr<=0.74]  +  bull[break_impulse_body_atr<=0.37],1163,166.3,0.4402,0.325,12,1.583
htf_range_size_mid_atr>=20.14,break_impulse_range_atr<=1.14,bear[htf_range_size_mid_atr>=20.14]  +  bull[break_impulse_range_atr<=1.14],1577,225.4,0.4401,0.3251,20,1.584
htf_range_size_mid_atr>=20.14,distance_from_last_impulse_atr>=2.23,bear[htf_range_size_mid_atr>=20.14]  +  bull[distance_from_last_impulse_atr>=2.23],1168,167.0,0.4401,0.3308,17,1.597
recent_trend_payoff_atr_48h<=0.16,aoi_near_edge_atr<=0.14,bear[recent_trend_payoff_atr_48h<=0.16]  +  bull[aoi_near_edge_atr<=0.14],1161,166.0,0.4401,0.3329,12,1.602
aoi_touch_count_since_creation<=6.0,aoi_near_edge_atr<=0.14,bear[aoi_touch_count_since_creation<=6.0]  +  bull[aoi_near_edge_atr<=0.14],1618,231.3,0.44,0.3295,14,1.594
break_impulse_range_atr<=0.72,aoi_near_edge_atr<=0.32,bear[break_impulse_range_atr<=0.72]  +  bull[aoi_near_edge_atr<=0.32],1184,169.3,0.44,0.3251,12,1.584
break_impulse_range_atr<=0.72,distance_from_last_impulse_atr>=0.93,bear[break_impulse_range_atr<=0.72]  +  bull[distance_from_last_impulse_atr>=0.93],1189,170.0,0.4399,0.3338,13,1.605
break_impulse_range_atr<=0.97,distance_from_last_impulse_atr<=0.38,bear[break_impulse_range_atr<=0.97]  +  bull[distance_from_last_impulse_atr<=0.38],1162,166.1,0.4398,0.3219,13,1.576
break_impulse_range_atr<=0.97,aoi_far_edge_atr<=1.43,bear[break_impulse_range_atr<=0.97]  +  bull[aoi_far_edge_atr<=1.43],1165,166.5,0.4395,0.3269,10,1.589
break_impulse_range_atr<=0.97,aoi_last_reaction_strength>=0.84,bear[break_impulse_range_atr<=0.97]  +  bull[aoi_last_reaction_strength>=0.84],1083,154.8,0.4395,0.3283,12,1.591
aoi_touch_count_since_creation<=6.0,distance_from_last_impulse_atr<=0.38,bear[aoi_touch_count_since_creation<=6.0]  +  bull[distance_from_last_impulse_atr<=0.38],1625,232.3,0.4394,0.3261,15,1.587
break_impulse_range_atr<=0.97,recent_trend_payoff_atr_48h<=-3.34,bear[break_impulse_range_atr<=0.97]  +  bull[recent_trend_payoff_atr_48h<=-3.34],1163,166.3,0.4394,0.3286,13,1.593
trend_age_impulses<=5.0,session_directional_bias>=0.2,bear[trend_age_impulses<=5.0]  +  bull[session_directional_bias>=0.2],1254,179.3,0.4394,0.3307,14,1.597
aoi_far_edge_atr<=1.99,signal_candle_opposite_extreme_atr<=0.58,bear[aoi_far_edge_atr<=1.99]  +  bull[signal_candle_opposite_extreme_atr<=0.58],1548,221.3,0.4393,0.3209,17,1.574
htf_range_size_mid_atr>=25.16,recent_trend_payoff_atr_24h<=-0.38,bear[htf_range_size_mid_atr>=25.16]  +  bull[recent_trend_payoff_atr_24h<=-0.38],1195,170.8,0.4393,0.3289,10,1.594
max_retest_penetration_atr<=0.74,aoi_near_edge_atr<=0.14,bear[max_retest_penetration_atr<=0.74]  +  bull[aoi_near_edge_atr<=0.14],1161,166.0,0.4393,0.3241,13,1.581
aoi_touch_count_since_creation<=6.0,aoi_far_edge_atr<=1.43,bear[aoi_touch_count_since_creation<=6.0]  +  bull[aoi_far_edge_atr<=1.43],1628,232.7,0.4392,0.3296,14,1.596
aoi_touch_count_since_creation<=6.0,aoi_last_reaction_strength>=0.84,bear[aoi_touch_count_since_creation<=6.0]  +  bull[aoi_last_reaction_strength>=0.84],1546,221.0,0.4392,0.3307,12,1.597
aoi_far_edge_atr<=1.99,aoi_height_atr<=1.12,bear[aoi_far_edge_atr<=1.99]  +  bull[aoi_height_atr<=1.12],1555,222.3,0.4392,0.3325,15,1.603
htf_pos>=0.78,signal_candle_opposite_extreme_atr<=0.87,bear[htf_pos>=0.78]  +  bull[signal_candle_opposite_extreme_atr<=0.87],1512,216.1,0.4392,0.3184,19,1.568
htf_range_size_mid_atr>=20.14,aoi_midpoint_range_position_mid<=0.43,bear[htf_range_size_mid_atr>=20.14]  +  bull[aoi_midpoint_range_position_mid<=0.43],1168,167.0,0.4392,0.3287,15,1.593
recent_trend_payoff_atr_48h<=0.16,distance_from_last_impulse_atr<=0.38,bear[recent_trend_payoff_atr_48h<=0.16]  +  bull[distance_from_last_impulse_atr<=0.38],1168,167.0,0.4392,0.3282,15,1.592
aoi_touch_count_since_creation<=6.0,recent_trend_payoff_atr_48h<=-3.34,bear[aoi_touch_count_since_creation<=6.0]  +  bull[recent_trend_payoff_atr_48h<=-3.34],1626,232.4,0.4391,0.3308,13,1.598
aoi_near_edge_atr<=0.29,signal_candle_opposite_extreme_atr<=0.87,bear[aoi_near_edge_atr<=0.29]  +  bull[signal_candle_opposite_extreme_atr<=0.87],1594,227.9,0.4391,0.3184,14,1.568
htf_range_size_mid_atr>=25.16,aoi_near_edge_atr<=0.32,bear[htf_range_size_mid_atr>=25.16]  +  bull[aoi_near_edge_atr<=0.32],1189,170.0,0.439,0.3208,12,1.575
htf_range_size_mid_atr>=20.14,break_close_location<=0.67,bear[htf_range_size_mid_atr>=20.14]  +  bull[break_close_location<=0.67],1164,166.4,0.439,0.3238,15,1.582
htf_range_size_mid_atr>=25.16,distance_from_last_impulse_atr>=0.93,bear[htf_range_size_mid_atr>=25.16]  +  bull[distance_from_last_impulse_atr>=0.93],1194,170.7,0.4389,0.3295,12,1.596
break_impulse_range_atr<=0.97,break_impulse_range_atr<=1.14,bear[break_impulse_range_atr<=0.97]  +  bull[break_impulse_range_atr<=1.14],1572,224.7,0.4389,0.3195,16,1.571
recent_trend_payoff_atr_48h<=0.16,aoi_far_edge_atr<=1.43,bear[recent_trend_payoff_atr_48h<=0.16]  +  bull[aoi_far_edge_atr<=1.43],1171,167.4,0.4389,0.3331,14,1.604
recent_trend_payoff_atr_48h<=0.16,aoi_last_reaction_strength>=0.84,bear[recent_trend_payoff_atr_48h<=0.16]  +  bull[aoi_last_reaction_strength>=0.84],1089,155.7,0.4389,0.335,11,1.607
aoi_touch_count_since_creation<=6.0,break_impulse_range_atr<=1.14,bear[aoi_touch_count_since_creation<=6.0]  +  bull[break_impulse_range_atr<=1.14],2035,290.9,0.4388,0.3234,16,1.581
aoi_near_edge_atr<=0.29,break_impulse_body_atr<=0.64,bear[aoi_near_edge_atr<=0.29]  +  bull[break_impulse_body_atr<=0.64],1584,226.4,0.4388,0.319,14,1.57
aoi_far_edge_atr<=1.99,break_impulse_body_atr<=0.37,bear[aoi_far_edge_atr<=1.99]  +  bull[break_impulse_body_atr<=0.37],1545,220.9,0.4388,0.3196,15,1.571
recent_trend_payoff_atr_48h<=0.16,recent_trend_payoff_atr_48h<=-3.34,bear[recent_trend_payoff_atr_48h<=0.16]  +  bull[recent_trend_payoff_atr_48h<=-3.34],1169,167.1,0.4388,0.3348,14,1.608
htf_pos>=0.78,break_impulse_body_atr<=0.64,bear[htf_pos>=0.78]  +  bull[break_impulse_body_atr<=0.64],1502,214.7,0.4387,0.3191,20,1.571
break_impulse_range_atr<=0.97,break_impulse_range_atr<=0.83,bear[break_impulse_range_atr<=0.97]  +  bull[break_impulse_range_atr<=0.83],1158,165.5,0.4387,0.3187,11,1.569
aoi_touch_count_since_creation<=6.0,break_impulse_range_atr<=0.83,bear[aoi_touch_count_since_creation<=6.0]  +  bull[break_impulse_range_atr<=0.83],1621,231.7,0.4386,0.3238,15,1.582
recent_trend_payoff_atr_48h<=2.54,signal_candle_opposite_extreme_atr<=0.58,bear[recent_trend_payoff_atr_48h<=2.54]  +  bull[signal_candle_opposite_extreme_atr<=0.58],1546,221.0,0.4386,0.3244,20,1.583
aoi_touch_count_since_creation<=4.0,aoi_midpoint_range_position_high<=0.81,bear[aoi_touch_count_since_creation<=4.0]  +  bull[aoi_midpoint_range_position_high<=0.81],1991,284.6,0.4385,0.3274,13,1.591
aoi_touch_count_since_creation<=6.0,distance_from_last_impulse_atr>=2.23,bear[aoi_touch_count_since_creation<=6.0]  +  bull[distance_from_last_impulse_atr>=2.23],1626,232.4,0.4385,0.327,12,1.59
recent_trend_payoff_atr_48h<=2.54,aoi_height_atr<=1.12,bear[recent_trend_payoff_atr_48h<=2.54]  +  bull[aoi_height_atr<=1.12],1553,222.0,0.4385,0.336,15,1.612
break_impulse_range_atr<=0.97,distance_from_last_impulse_atr>=2.23,bear[break_impulse_range_atr<=0.97]  +  bull[distance_from_last_impulse_atr>=2.23],1163,166.3,0.4385,0.3233,15,1.58
recent_trend_payoff_atr_48h<=0.16,break_impulse_range_atr<=1.14,bear[recent_trend_payoff_atr_48h<=0.16]  +  bull[break_impulse_range_atr<=1.14],1578,225.6,0.4385,0.3242,17,1.583
break_impulse_body_atr<=0.34,aoi_midpoint_range_position_high<=0.81,bear[break_impulse_body_atr<=0.34]  +  bull[aoi_midpoint_range_position_high<=0.81],1592,227.6,0.4384,0.3279,12,1.592
max_retest_penetration_atr<=0.74,distance_from_last_impulse_atr<=0.38,bear[max_retest_penetration_atr<=0.74]  +  bull[distance_from_last_impulse_atr<=0.38],1168,167.0,0.4384,0.3194,14,1.571
aoi_far_edge_atr<=1.99,aoi_near_edge_atr<=0.14,bear[aoi_far_edge_atr<=1.99]  +  bull[aoi_near_edge_atr<=0.14],1543,220.6,0.4381,0.3188,13,1.57
recent_trend_payoff_atr_48h<=2.54,break_impulse_body_atr<=0.37,bear[recent_trend_payoff_atr_48h<=2.54]  +  bull[break_impulse_body_atr<=0.37],1543,220.6,0.4381,0.323,21,1.58
recent_trend_payoff_atr_48h<=0.16,break_impulse_range_atr<=0.83,bear[recent_trend_payoff_atr_48h<=0.16]  +  bull[break_impulse_range_atr<=0.83],1164,166.4,0.4381,0.325,18,1.585
max_retest_penetration_atr<=0.74,aoi_far_edge_atr<=1.43,bear[max_retest_penetration_atr<=0.74]  +  bull[aoi_far_edge_atr<=1.43],1171,167.4,0.4381,0.3243,12,1.584
recent_trend_payoff_atr_48h<=0.16,distance_from_last_impulse_atr>=2.23,bear[recent_trend_payoff_atr_48h<=0.16]  +  bull[distance_from_last_impulse_atr>=2.23],1169,167.1,0.438,0.3295,14,1.596
max_retest_penetration_atr<=0.74,recent_trend_payoff_atr_48h<=-3.34,bear[max_retest_penetration_atr<=0.74]  +  bull[recent_trend_payoff_atr_48h<=-3.34],1169,167.1,0.438,0.326,14,1.587
max_retest_penetration_atr<=0.74,aoi_last_reaction_strength>=0.84,bear[max_retest_penetration_atr<=0.74]  +  bull[aoi_last_reaction_strength>=0.84],1089,155.7,0.438,0.3255,13,1.585
aoi_touch_count_since_creation<=6.0,aoi_midpoint_range_position_mid<=0.43,bear[aoi_touch_count_since_creation<=6.0]  +  bull[aoi_midpoint_range_position_mid<=0.43],1626,232.4,0.4379,0.3256,20,1.587
max_retest_penetration_atr<=0.74,break_impulse_range_atr<=1.14,bear[max_retest_penetration_atr<=0.74]  +  bull[break_impulse_range_atr<=1.14],1578,225.6,0.4379,0.3176,17,1.568
htf_range_size_mid_atr>=20.14,signal_candle_opposite_extreme_atr<=0.87,bear[htf_range_size_mid_atr>=20.14]  +  bull[signal_candle_opposite_extreme_atr<=0.87],1583,226.3,0.4378,0.3184,21,1.569
aoi_touch_count_since_creation<=6.0,break_close_location<=0.67,bear[aoi_touch_count_since_creation<=6.0]  +  bull[break_close_location<=0.67],1622,231.9,0.4377,0.3221,11,1.578
max_retest_penetration_atr<=0.46,aoi_midpoint_range_position_high<=0.81,bear[max_retest_penetration_atr<=0.46]  +  bull[aoi_midpoint_range_position_high<=0.81],1590,227.3,0.4377,0.3279,15,1.592
break_impulse_range_atr<=0.97,aoi_midpoint_range_position_mid<=0.43,bear[break_impulse_range_atr<=0.97]  +  bull[aoi_midpoint_range_position_mid<=0.43],1163,166.3,0.4377,0.3212,15,1.576
break_impulse_body_atr<=0.59,recent_trend_payoff_atr_24h<=-0.38,bear[break_impulse_body_atr<=0.59]  +  bull[recent_trend_payoff_atr_24h<=-0.38],1577,225.4,0.4375,0.3214,16,1.577
signal_candle_opposite_extreme_atr<=0.53,aoi_midpoint_range_position_high<=0.81,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[aoi_midpoint_range_position_high<=0.81],1589,227.2,0.4374,0.3247,13,1.585
aoi_far_edge_atr<=1.99,distance_from_last_impulse_atr<=0.38,bear[aoi_far_edge_atr<=1.99]  +  bull[distance_from_last_impulse_atr<=0.38],1550,221.6,0.4374,0.3153,15,1.562
recent_trend_payoff_atr_48h<=2.54,aoi_near_edge_atr<=0.14,bear[recent_trend_payoff_atr_48h<=2.54]  +  bull[aoi_near_edge_atr<=0.14],1541,220.3,0.4374,0.3223,14,1.579
htf_range_size_mid_atr>=20.14,break_impulse_body_atr<=0.64,bear[htf_range_size_mid_atr>=20.14]  +  bull[break_impulse_body_atr<=0.64],1573,224.9,0.4374,0.3189,22,1.571
break_impulse_range_atr<=0.97,break_close_location<=0.67,bear[break_impulse_range_atr<=0.97]  +  bull[break_close_location<=0.67],1159,165.7,0.4374,0.3163,11,1.565
break_impulse_body_atr<=0.59,aoi_near_edge_atr<=0.32,bear[break_impulse_body_atr<=0.59]  +  bull[aoi_near_edge_atr<=0.32],1571,224.6,0.4373,0.3153,14,1.562
max_retest_penetration_atr<=0.74,break_impulse_range_atr<=0.83,bear[max_retest_penetration_atr<=0.74]  +  bull[break_impulse_range_atr<=0.83],1164,166.4,0.4373,0.3162,12,1.564
trend_age_impulses<=5.0,signal_candle_opposite_extreme_atr<=0.58,bear[trend_age_impulses<=5.0]  +  bull[signal_candle_opposite_extreme_atr<=0.58],1347,192.6,0.4373,0.3198,17,1.573
break_impulse_body_atr<=0.59,distance_from_last_impulse_atr>=0.93,bear[break_impulse_body_atr<=0.59]  +  bull[distance_from_last_impulse_atr>=0.93],1576,225.3,0.4372,0.3218,17,1.578
aoi_far_edge_atr<=1.99,break_impulse_range_atr<=1.14,bear[aoi_far_edge_atr<=1.99]  +  bull[break_impulse_range_atr<=1.14],1960,280.2,0.4372,0.3147,18,1.561
aoi_far_edge_atr<=1.99,aoi_far_edge_atr<=1.43,bear[aoi_far_edge_atr<=1.99]  +  bull[aoi_far_edge_atr<=1.43],1553,222.0,0.4372,0.319,13,1.572
trend_age_impulses<=5.0,aoi_height_atr<=1.12,bear[trend_age_impulses<=5.0]  +  bull[aoi_height_atr<=1.12],1354,193.6,0.4372,0.3331,11,1.607
