portfolio,gate,depth,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
top8_win,htf_dir>=0.4 & bars_between_retest_and_break<=3,2,711,101.6,0.4065,0.2194,11,1.37
top15_win,htf_dir>=0.4 & break_close_location>=0.65 & max_retest_penetration_atr<=1.25,3,859,122.8,0.4063,0.2189,11,1.369
top5_win,no_gate,0,1046,149.5,0.4054,0.2161,13,1.363
top10_win,htf_dir>=0.4 & bars_between_retest_and_break<=2 & break_close_location>=0.5,3,718,102.6,0.4053,0.2159,17,1.363
top10_win,htf_dir>=0.4 & bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,3,770,110.1,0.4052,0.2156,16,1.362
top10_win,htf_dir>=0.45 & bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.25,3,717,102.5,0.4045,0.2134,11,1.358
top10_win,htf_dir>=0.4 & distance_to_next_htf_obstacle_atr>=0.25,2,851,121.7,0.4042,0.2127,10,1.357
top10_win,htf_dir>=0.4 & distance_to_next_htf_obstacle_atr>=0.5,2,702,100.4,0.4031,0.2094,8,1.351
fixed_top15,htf_dir>=0.45 & signal_candle_opposite_extreme_atr>=0.35,2,881,125.9,0.403,0.2089,9,1.35
fixed_top15,htf_dir>=0.45 & signal_candle_opposite_extreme_atr>=0.35,2,881,125.9,0.403,0.2089,9,1.35
fixed_top15,htf_range_mid>=0.55,1,849,121.4,0.4028,0.2095,11,1.351
fixed_top15,htf_dir>=0.5 & distance_to_next_htf_obstacle_atr>=0.25,2,715,102.2,0.4028,0.2084,11,1.349
fixed_top15,htf_dir>=0.5 & distance_to_next_htf_obstacle_atr>=0.25,2,715,102.2,0.4028,0.2084,11,1.349
top10_win,htf_dir>=0.4 & bars_between_retest_and_break<=2,2,817,116.8,0.4027,0.2081,17,1.348
top10_win,htf_dir>=0.4 & max_retest_penetration_atr<=1.25,2,824,117.8,0.4017,0.2051,14,1.343
top10_win,htf_dir>=0.4 & bars_between_retest_and_break<=3,2,884,126.4,0.4016,0.2048,16,1.342
fixed_top15,htf_dir>=0.45,1,942,134.7,0.4013,0.2038,10,1.34
top15_win,htf_dir>=0.4 & bars_between_retest_and_break<=2 & distance_to_next_htf_obstacle_atr>=0.25,3,1003,143.4,0.4008,0.2024,8,1.338
top12_win,htf_dir>=0.4 & bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.25,3,859,122.8,0.4005,0.2014,13,1.336
top12_win,htf_dir>=0.4 & bars_between_retest_and_break<=2 & distance_to_next_htf_obstacle_atr>=0.25,3,806,115.2,0.3995,0.1985,12,1.331
fixed_top15,htf_dir>=0.45 & break_close_location>=0.5,2,834,119.2,0.3993,0.1978,9,1.329
top15_win,htf_dir>=0.4 & bars_between_retest_and_break<=2 & break_close_location>=0.5,3,1022,146.1,0.3992,0.1977,14,1.329
top15_win,htf_dir>=0.4 & bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.25,3,1073,153.4,0.3989,0.1966,9,1.327
top15_win,htf_dir>=0.4 & bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,3,1068,152.7,0.3989,0.1966,13,1.327
top8_win,no_gate,0,1511,216.0,0.3984,0.1958,16,1.326
fixed_top15,htf_dir>=0.5 & signal_candle_opposite_extreme_atr>=0.35,2,814,116.4,0.398,0.1941,9,1.322
fixed_top15,htf_dir>=0.5 & signal_candle_opposite_extreme_atr>=0.35,2,814,116.4,0.398,0.1941,9,1.322
top15_win,htf_dir>=0.45 & bars_between_retest_and_break<=2 & break_close_location>=0.65,3,774,110.6,0.3979,0.1938,11,1.322
top10_win,htf_dir>=0.45 & bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,3,714,102.1,0.3978,0.1933,14,1.321
top12_win,htf_dir>=0.4 & distance_to_next_htf_obstacle_atr>=0.25 & max_retest_penetration_atr<=1.25,3,805,115.1,0.3975,0.1925,12,1.32
