portfolio,gate,depth,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
top15_win,htf_dir>=0.55 & break_close_location>=0.5,2,1039,148.5,0.3696,0.1088,13,1.173
top12_win,htf_dir>=0.5 & signal_candle_opposite_extreme_atr>=0.35,2,972,139.0,0.3693,0.108,11,1.171
top10_win,htf_dir>=0.55 & break_close_location>=0.5,2,715,102.2,0.3692,0.1077,12,1.171
top12_win,htf_dir>=0.55 & distance_to_next_htf_obstacle_atr>=0.25,2,778,111.2,0.3689,0.1067,12,1.169
top12_win,htf_dir>=0.45 & break_close_location>=0.65,2,806,115.2,0.3685,0.1055,14,1.167
top15_win,htf_dir>=0.6 & max_retest_penetration_atr<=1.25,2,855,122.2,0.3684,0.1053,12,1.167
top15_win,htf_dir>=0.6 & max_retest_penetration_atr<=1.0,2,714,102.1,0.3683,0.105,12,1.166
top12_win,htf_dir>=0.45 & break_close_location>=0.5,2,997,142.5,0.3681,0.1043,10,1.165
top15_win,htf_dir>=0.6 & break_close_location>=0.65,2,764,109.2,0.3678,0.1034,14,1.164
top15_win,htf_dir>=0.6 & distance_to_next_htf_obstacle_atr>=0.25 & max_retest_penetration_atr<=1.25,3,734,104.9,0.3678,0.1035,13,1.164
top12_win,htf_dir>=0.55 & signal_candle_opposite_extreme_atr>=0.35,2,887,126.8,0.3675,0.1026,12,1.162
top12_win,htf_dir>=0.5,1,1038,148.4,0.3671,0.1012,11,1.16
top12_win,htf_dir>=0.5 & break_close_location>=0.5,2,918,131.2,0.3671,0.1013,11,1.16
top15_win,htf_dir>=0.55,1,1180,168.7,0.3669,0.1008,13,1.159
top15_win,htf_dir>=0.55 & distance_to_next_htf_obstacle_atr>=0.25,2,971,138.8,0.3666,0.0999,14,1.158
top15_win,htf_dir>=0.65 & max_retest_penetration_atr<=1.25,2,771,110.2,0.3658,0.0973,11,1.153
top15_win,htf_dir>=0.6 & distance_to_next_htf_obstacle_atr>=0.5,2,730,104.4,0.3658,0.0973,17,1.153
top12_win,htf_dir>=0.55 & break_close_location>=0.5,2,834,119.2,0.3657,0.0971,11,1.153
top12_win,htf_dir>=0.5 & break_close_location>=0.65,2,741,105.9,0.3657,0.0972,11,1.153
top12_win,htf_dir>=0.55,1,945,135.1,0.3651,0.0952,13,1.15
top10_win,htf_dir>=0.6,1,740,105.8,0.3649,0.0946,13,1.149
top12_win,htf_dir>=0.6 & distance_to_next_htf_obstacle_atr>=0.25,2,710,101.5,0.3634,0.0901,13,1.142
top10_win,htf_dir>=0.6 & signal_candle_opposite_extreme_atr>=0.35,2,703,100.5,0.3627,0.0882,12,1.138
top15_win,htf_dir>=0.6 & break_close_location>=0.5,2,949,135.7,0.3625,0.0875,13,1.137
top15_win,htf_dir>=0.6 & signal_candle_opposite_extreme_atr>=0.35,2,992,141.8,0.3609,0.0827,12,1.129
top15_win,htf_dir>=0.7 & distance_to_next_htf_obstacle_atr>=0.25,2,724,103.5,0.3605,0.0815,12,1.127
top15_win,htf_dir>=0.6 & distance_to_next_htf_obstacle_atr>=0.25,2,891,127.4,0.3603,0.0808,15,1.126
top15_win,htf_dir>=0.65 & break_close_location>=0.5,2,852,121.8,0.3603,0.081,13,1.127
top15_win,htf_dir>=0.6,1,1075,153.7,0.36,0.08,14,1.125
top15_win,htf_dir>=0.65 & signal_candle_opposite_extreme_atr>=0.35,2,892,127.5,0.3599,0.0796,13,1.124
top12_win,htf_dir>=0.6 & break_close_location>=0.5,2,760,108.6,0.3592,0.0776,12,1.121
top15_win,htf_dir>=0.65,1,972,139.0,0.3591,0.0772,13,1.12
top12_win,htf_dir>=0.6,1,858,122.7,0.359,0.0769,13,1.12
top12_win,htf_dir>=0.6 & signal_candle_opposite_extreme_atr>=0.35,2,806,115.2,0.3586,0.0757,12,1.118
top12_win,htf_dir>=0.65 & signal_candle_opposite_extreme_atr>=0.35,2,725,103.6,0.3586,0.0759,12,1.118
top15_win,htf_dir>=0.65 & distance_to_next_htf_obstacle_atr>=0.25,2,804,114.9,0.3582,0.0746,15,1.116
top12_win,htf_dir>=0.65,1,776,110.9,0.3582,0.0747,13,1.116
top15_win,htf_dir>=0.7,1,867,123.9,0.3564,0.0692,12,1.108
top15_win,htf_dir>=0.7 & signal_candle_opposite_extreme_atr>=0.35,2,796,113.8,0.3555,0.0666,17,1.103
top15_win,htf_dir>=0.7 & break_close_location>=0.5,2,758,108.4,0.3549,0.0646,16,1.1
