gate,lift,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
aoi_last_reaction_strength>=0.2,0.0093,584,83.5,0.4178,0.2682,9,1.467
distance_from_last_impulse_atr<=0.15,0.0092,158,22.6,0.4177,0.2532,8,1.435
retest_candle_body_penetration<=0.14,0.0087,163,23.3,0.4172,0.2515,6,1.432
aoi_midpoint_range_position_high<=0.63,0.0085,813,116.2,0.417,0.2667,10,1.466
htf_pos<=0.12,0.008,521,74.5,0.4165,0.264,8,1.459
htf_range_size_mid_atr<=25.36,0.0079,1220,174.4,0.4164,0.2677,13,1.468
recent_trend_payoff_atr_24h>=2.41,0.0078,406,58.0,0.4163,0.2559,9,1.44
htf_pos<=0.22,0.0077,716,102.4,0.4162,0.2641,11,1.459
recent_trend_payoff_atr_24h>=4.15,0.0076,161,23.0,0.4161,0.2484,10,1.426
htf_pos<=0.15,0.0076,584,83.5,0.4161,0.2672,10,1.466
htf_range_size_mid_atr<=30.96,0.0072,1465,209.4,0.4157,0.2636,15,1.459
max_retest_penetration_atr<=0.79,0.0071,806,115.2,0.4156,0.259,12,1.448
retest_candle_body_penetration>=0.63,0.0069,402,57.5,0.4154,0.2852,8,1.51
aoi_height_atr<=1.3,0.0069,804,114.9,0.4154,0.2736,11,1.482
break_impulse_range_atr<=1.5,0.0067,1226,175.3,0.4152,0.2495,13,1.429
htf_range_size_high_atr<=37.58,0.0067,814,116.4,0.4152,0.2662,10,1.466
signal_candle_opposite_extreme_atr<=1.25,0.0063,1227,175.4,0.4148,0.2525,15,1.435
htf_pos<=0.20,0.006,678,96.9,0.4145,0.2597,10,1.451
bars_between_retest_and_break<=1.0,0.0058,1050,150.1,0.4143,0.2641,14,1.461
session_directional_bias>=-0.92,0.0055,930,132.9,0.414,0.2622,10,1.457
break_impulse_range_atr<=0.61,0.0055,157,22.4,0.414,0.242,7,1.413
htf_range_size_high_atr>=24.3,0.0052,1465,209.4,0.4137,0.2562,11,1.444
break_close_location<=0.97,0.0047,1481,211.7,0.4132,0.2575,12,1.447
htf_range_size_mid_atr>=16.33,0.0043,1221,174.5,0.4128,0.2546,10,1.44
