sl_model,mode,n_groups,groups,gate_label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,htf_range_mid>=0.5,802,114.6,0.3703,0.1205,10,1.194
SL_SIGNAL_CANDLE_PLUS_0_25,threshold,1,jpy_pairs,break_close_location>=0.65,740,105.8,0.3703,0.1801,14,1.305
SL_ATR_0_5,threshold,1,jpy_pairs,bars_between_retest_and_break<=4,851,121.7,0.3702,0.1105,12,1.175
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,bars_between_retest_and_break<=3 & max_retest_penetration_atr<=1.25,1046,149.5,0.37,0.1114,17,1.177
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,signal_candle_opposite_extreme_atr>=0.5,1176,168.1,0.3699,0.1142,24,1.182
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,1101,157.4,0.3697,0.1251,15,1.202
SL_ATR_2_0,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.5,863,123.4,0.3696,0.195,12,1.338
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,bars_between_retest_and_break<=2 & max_retest_penetration_atr<=1.25,974,139.2,0.3696,0.1103,16,1.175
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,bars_between_retest_and_break<=4,1388,198.4,0.3696,0.1261,14,1.203
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,bars_between_retest_and_break<=2 & max_retest_penetration_atr<=1.25,1058,151.2,0.3696,0.1227,13,1.197
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,bars_between_retest_and_break<=3 & max_retest_penetration_atr<=1.25,1134,162.1,0.3695,0.1215,14,1.195
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,break_close_location>=0.7,1053,150.5,0.3694,0.1121,20,1.178
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,distance_to_next_htf_obstacle_atr>=0.25,1072,153.2,0.3694,0.1131,17,1.18
SL_ATR_2_0,threshold,1,jpy_pairs,htf_range_size_mid_atr>=10,929,132.8,0.3692,0.1934,9,1.335
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,bars_between_retest_and_break<=2 & distance_to_next_htf_obstacle_atr>=0.25,845,120.8,0.3692,0.1094,13,1.174
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.25,916,130.9,0.369,0.11,16,1.175
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,trend_age_impulses>=3,1494,213.6,0.3688,0.1155,13,1.185
SL_ATR_2_0,threshold,1,jpy_pairs,break_close_location>=0.5,871,124.5,0.3685,0.1889,11,1.326
SL_SIGNAL_CANDLE_PLUS_0_25,threshold,1,jpy_pairs,break_close_location>=0.5,871,124.5,0.3685,0.1672,15,1.28
SL_SIGNAL_CANDLE_PLUS_0_25,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.5,863,123.4,0.3685,0.1666,14,1.279
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,break_close_location>=0.7 & max_retest_penetration_atr<=1.25,809,115.7,0.3684,0.11,16,1.175
SL_ATR_0_5,threshold,1,jpy_pairs,bars_between_retest_and_break<=3,793,113.4,0.3682,0.1047,12,1.166
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,signal_candle_opposite_extreme_atr>=0.25,1543,220.6,0.3681,0.1207,13,1.194
