sl_model,mode,n_groups,groups,gate_label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,bars_between_retest_and_break<=2 & aoi_far_edge_atr>=1.5,828,118.4,0.3768,0.1434,15,1.233
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,htf_range_size_mid_atr>=20,829,118.5,0.3764,0.1291,19,1.207
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,htf_range_size_mid_atr>=20,821,117.4,0.3764,0.1385,12,1.224
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,break_close_location>=0.65,720,102.9,0.3764,0.1347,12,1.217
SL_AOI_NEAR_PLUS_0_5,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.25,938,134.1,0.3763,0.1441,16,1.234
SL_SIGNAL_CANDLE,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.25,938,134.1,0.3763,0.1601,16,1.263
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,bars_between_retest_and_break<=2 & aoi_far_edge_atr>=1.5,731,104.5,0.3762,0.1306,15,1.21
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,htf_range_size_mid_atr>=10,912,130.4,0.3761,0.1327,13,1.213
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,break_close_location>=0.65,1248,178.4,0.3758,0.1442,17,1.235
SL_ATR_2_0,threshold,1,jpy_pairs,break_close_location>=0.65,740,105.8,0.3757,0.2123,12,1.371
SL_SIGNAL_CANDLE,threshold,1,jpy_pairs,no_gate,945,135.1,0.3757,0.1579,16,1.259
SL_AOI_NEAR_PLUS_0_5,threshold,1,jpy_pairs,no_gate,945,135.1,0.3757,0.1419,16,1.23
SL_ATR_0_5,threshold,1,jpy_pairs,htf_range_size_mid_atr>=15,788,112.6,0.3756,0.1269,10,1.203
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.35,903,129.1,0.3754,0.1307,13,1.21
SL_SIGNAL_CANDLE,threshold,1,jpy_pairs,break_close_location>=0.5,871,124.5,0.3754,0.1598,15,1.263
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,max_retest_penetration_atr<=1.0,983,140.5,0.3754,0.1366,15,1.221
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,bars_between_retest_and_break<=2 & break_close_location>=0.5,1015,145.1,0.3754,0.1276,14,1.205
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,722,103.2,0.3753,0.1281,11,1.206
SL_ATR_0_5,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.25,938,134.1,0.3753,0.1258,13,1.201
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,htf_range_size_mid_atr>=15,765,109.4,0.3752,0.1255,11,1.201
SL_AOI_NEAR_PLUS_0_5,threshold,1,jpy_pairs,trend_age_impulses>=3,885,126.5,0.3751,0.1376,16,1.222
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,bars_between_retest_and_break<=4,1293,184.8,0.3751,0.1274,18,1.204
SL_ATR_0_5,threshold,1,jpy_pairs,aoi_far_edge_atr>=1.0,923,131.9,0.3749,0.1246,13,1.199
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,break_close_location>=0.5,1342,191.8,0.3748,0.1284,19,1.206
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,max_retest_penetration_atr<=1.0 & signal_candle_opposite_extreme_atr>=0.5,766,109.5,0.3747,0.1342,14,1.217
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,aoi_far_edge_atr>=1.0,1420,203.0,0.3746,0.1277,29,1.205
SL_ATR_0_5,threshold,1,jpy_pairs,no_gate,945,135.1,0.3746,0.1238,13,1.198
SL_ATR_0_5,threshold,1,jpy_pairs,htf_range_size_mid_atr>=10,929,132.8,0.3746,0.1238,13,1.198
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,bars_between_retest_and_break<=2,1180,168.7,0.3746,0.1388,14,1.225
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,aoi_far_edge_atr>=1.5 & distance_to_next_htf_obstacle_atr>=0.25,713,101.9,0.3745,0.1308,16,1.211
