depth,gates,delta_win,retain_pct,n_trades,trades_per_year,win_pct,sl_pct,timeout_pct,expectancy_r,max_losing_streak,profit_factor
2,break_close_location>=0.496(p10) & trend_age_impulses>=5.000(p50),0.0138,57.5,1074,153.5,0.4209,0.5791,0.0,0.2626,9,1.453
2,distance_to_next_htf_obstacle_atr>=0.235(p25) & htf_range_size_high_atr<=48.734(p75),0.0137,53.1,991,141.7,0.4208,0.5782,0.001,0.2632,10,1.455
2,aoi_far_edge_atr>=1.414(p25) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0137,65.3,1219,174.3,0.4208,0.5792,0.0,0.2625,9,1.453
2,break_impulse_range_atr<=1.398(p75) & aoi_far_edge_atr>=1.211(p10),0.0137,59.2,1105,158.0,0.4208,0.5792,0.0,0.2624,11,1.453
2,distance_to_next_htf_obstacle_atr>=0.235(p25) & htf_range_size_high_atr>=24.415(p10),0.0137,65.9,1231,176.0,0.4208,0.5792,0.0,0.2624,11,1.453
2,aoi_far_edge_atr>=1.211(p10) & signal_candle_range_atr<=1.398(p75),0.0137,59.2,1105,158.0,0.4208,0.5792,0.0,0.2624,11,1.453
2,bars_between_retest_and_break<=2.000(p75) & htf_range_size_high_atr<=48.734(p75),0.0136,55.4,1034,147.8,0.4207,0.5783,0.001,0.2629,12,1.455
2,distance_to_next_htf_obstacle_atr>=0.235(p25) & break_close_location>=0.496(p10),0.0135,64.4,1203,172.0,0.4206,0.5786,0.0008,0.2626,11,1.454
2,max_retest_penetration_atr<=1.141(p75) & trend_age_impulses>=4.000(p25),0.0134,63.7,1189,170.0,0.4205,0.5786,0.0008,0.2623,11,1.453
2,htf_range_size_high_atr>=24.415(p10) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0133,84.5,1577,225.4,0.4204,0.5796,0.0,0.2613,10,1.451
2,bars_between_retest_and_break<=1.000(p50) & bars_between_retest_and_break<=5.000(p90),0.0132,65.5,1223,174.8,0.4203,0.5789,0.0008,0.2615,15,1.452
2,trend_age_impulses>=4.000(p25) & htf_range_size_high_atr<=48.734(p75),0.0132,61.2,1142,163.3,0.4203,0.5788,0.0009,0.2617,14,1.452
2,distance_to_next_htf_obstacle_atr>=0.235(p25) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0132,58.1,1085,155.1,0.4203,0.5797,0.0,0.2608,12,1.45
2,bars_between_retest_and_break<=1.000(p50) & bars_between_retest_and_break<=2.000(p75),0.0132,65.5,1223,174.8,0.4203,0.5789,0.0008,0.2615,15,1.452
1,bars_between_retest_and_break<=1.000(p50),0.0132,65.5,1223,174.8,0.4203,0.5789,0.0008,0.2615,15,1.452
2,max_retest_penetration_atr<=1.141(p75) & recent_trend_payoff_atr_24h<=3.209(p90),0.0131,66.4,1240,177.3,0.4202,0.579,0.0008,0.2612,10,1.451
2,break_close_location>=0.636(p25) & signal_candle_body_atr>=0.328(p25),0.013,66.1,1233,176.3,0.4201,0.5799,0.0,0.2603,11,1.449
2,htf_range_size_high_atr>=24.415(p10) & signal_candle_body_atr>=0.328(p25),0.013,72.0,1345,192.3,0.4201,0.5799,0.0,0.2602,11,1.449
2,break_close_location>=0.636(p25) & break_impulse_body_atr>=0.328(p25),0.013,66.1,1233,176.3,0.4201,0.5799,0.0,0.2603,11,1.449
2,break_impulse_body_atr>=0.328(p25) & htf_range_size_high_atr>=24.415(p10),0.013,72.0,1345,192.3,0.4201,0.5799,0.0,0.2602,11,1.449
2,bars_between_retest_and_break<=5.000(p90) & recent_trend_payoff_atr_48h<=2.606(p75),0.013,68.1,1271,181.7,0.4201,0.5791,0.0008,0.2611,11,1.451
1,htf_range_size_mid_atr>=20.779(p50),0.0129,53.6,1000,143.0,0.42,0.58,0.0,0.26,11,1.448
2,break_impulse_body_atr>=0.328(p25) & aoi_near_edge_atr>=0.271(p50),0.0128,54.5,1017,145.4,0.4199,0.5801,0.0,0.2596,12,1.447
2,break_impulse_range_atr<=1.398(p75) & trend_age_impulses>=4.000(p25),0.0128,58.8,1098,157.0,0.4199,0.5792,0.0009,0.2603,10,1.449
2,max_retest_penetration_atr<=1.141(p75) & aoi_far_edge_atr>=1.211(p10),0.0128,66.2,1236,176.7,0.4199,0.5801,0.0,0.2597,10,1.448
2,trend_age_impulses>=4.000(p25) & signal_candle_range_atr<=1.398(p75),0.0128,58.8,1098,157.0,0.4199,0.5792,0.0009,0.2603,10,1.449
2,aoi_near_edge_atr>=0.271(p50) & signal_candle_body_atr>=0.328(p25),0.0128,54.5,1017,145.4,0.4199,0.5801,0.0,0.2596,12,1.447
2,recent_trend_payoff_atr_48h<=2.606(p75) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0127,70.8,1322,189.0,0.4198,0.5794,0.0008,0.2601,12,1.449
3,distance_to_next_htf_obstacle_atr>=0.235(p25) & break_close_location>=0.636(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0127,53.1,991,141.7,0.4198,0.5792,0.001,0.2602,9,1.449
2,trend_age_impulses>=4.000(p25) & htf_range_size_high_atr>=24.415(p10),0.0126,77.3,1444,206.4,0.4197,0.5803,0.0,0.259,10,1.446
2,bars_between_retest_and_break<=5.000(p90) & htf_range_size_high_atr>=24.415(p10),0.0125,81.3,1518,217.0,0.4196,0.5804,0.0,0.2589,12,1.446
1,aoi_near_edge_atr>=0.271(p50),0.0124,55.5,1037,148.2,0.4195,0.5805,0.0,0.2584,12,1.445
2,recent_trend_payoff_atr_24h<=3.209(p90) & htf_range_size_high_atr>=24.415(p10),0.0124,83.1,1552,221.9,0.4195,0.5805,0.0,0.2584,10,1.445
2,max_retest_penetration_atr<=1.141(p75) & aoi_far_edge_atr>=1.414(p25),0.0124,55.5,1037,148.2,0.4195,0.5805,0.0,0.2584,10,1.445
2,bars_between_retest_and_break<=5.000(p90) & break_close_location>=0.496(p10),0.0124,80.6,1504,215.0,0.4195,0.5798,0.0007,0.2592,12,1.447
2,recent_trend_payoff_atr_24h<=3.209(p90) & trend_age_impulses>=4.000(p25),0.0124,76.5,1428,204.1,0.4195,0.5798,0.0007,0.259,10,1.447
2,htf_range_size_high_atr>=24.415(p10) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0124,74.6,1392,199.0,0.4195,0.5805,0.0,0.2586,9,1.446
2,bars_between_retest_and_break<=5.000(p90) & aoi_far_edge_atr>=1.211(p10),0.0123,80.7,1507,215.4,0.4194,0.5806,0.0,0.2581,10,1.445
2,break_close_location>=0.496(p10) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0122,78.7,1469,210.0,0.4193,0.5807,0.0,0.258,10,1.444
2,max_retest_penetration_atr<=1.141(p75) & bars_between_retest_and_break<=1.000(p50),0.0121,59.3,1107,158.3,0.4192,0.5799,0.0009,0.2582,11,1.445
3,max_retest_penetration_atr<=1.141(p75) & bars_between_retest_and_break<=1.000(p50) & bars_between_retest_and_break<=2.000(p75),0.0121,59.3,1107,158.3,0.4192,0.5799,0.0009,0.2582,11,1.445
2,recent_trend_payoff_atr_48h<=2.606(p75) & htf_range_size_high_atr>=24.415(p10),0.0121,68.6,1281,183.1,0.4192,0.5808,0.0,0.2576,12,1.444
2,recent_trend_payoff_atr_48h<=2.606(p75) & htf_range_size_high_atr<=48.734(p75),0.012,55.6,1038,148.4,0.4191,0.58,0.001,0.2581,12,1.445
2,break_close_location>=0.496(p10) & htf_range_size_high_atr<=48.734(p75),0.012,66.2,1236,176.7,0.4191,0.5801,0.0008,0.258,12,1.445
2,recent_trend_payoff_atr_24h<=3.209(p90) & signal_candle_opposite_extreme_atr>=0.514(p25),0.012,75.2,1403,200.6,0.4191,0.5809,0.0,0.2573,10,1.443
1,aoi_far_edge_atr>=1.414(p25),0.0119,76.1,1420,203.0,0.419,0.581,0.0,0.257,9,1.442
2,break_close_location>=0.636(p25) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0119,69.4,1296,185.3,0.419,0.581,0.0,0.2569,10,1.442
2,aoi_far_edge_atr>=1.663(p50) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0119,50.6,945,135.1,0.419,0.581,0.0,0.2571,18,1.443
2,aoi_far_edge_atr>=1.211(p10) & aoi_far_edge_atr>=1.414(p25),0.0119,76.1,1420,203.0,0.419,0.581,0.0,0.257,9,1.442
2,bars_between_retest_and_break<=5.000(p90) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0118,83.3,1554,222.2,0.4189,0.5804,0.0006,0.2573,12,1.443
2,htf_range_size_high_atr>=24.415(p10) & aoi_far_edge_atr>=1.211(p10),0.0118,82.9,1547,221.2,0.4189,0.5811,0.0,0.2566,9,1.442
2,max_retest_penetration_atr<=1.141(p75) & htf_range_size_high_atr>=24.415(p10),0.0116,67.2,1254,179.3,0.4187,0.5813,0.0,0.256,10,1.44
2,break_close_location>=0.496(p10) & signal_candle_body_atr>=0.328(p25),0.0115,75.6,1412,201.9,0.4186,0.5814,0.0,0.2557,11,1.44
2,break_close_location>=0.496(p10) & break_impulse_body_atr>=0.328(p25),0.0115,75.6,1412,201.9,0.4186,0.5814,0.0,0.2557,11,1.44
2,aoi_far_edge_atr>=1.211(p10) & signal_candle_body_atr>=0.328(p25),0.0115,73.3,1369,195.7,0.4186,0.5814,0.0,0.2557,11,1.44
2,break_impulse_body_atr>=0.328(p25) & aoi_far_edge_atr>=1.211(p10),0.0115,73.3,1369,195.7,0.4186,0.5814,0.0,0.2557,11,1.44
2,break_close_location>=0.636(p25) & aoi_far_edge_atr>=1.211(p10),0.0114,69.4,1295,185.1,0.4185,0.5815,0.0,0.2556,10,1.44
2,break_close_location>=0.496(p10) & htf_range_size_high_atr>=24.415(p10),0.0113,82.1,1532,219.0,0.4184,0.5816,0.0,0.2552,10,1.439
2,htf_range_size_high_atr<=48.734(p75) & aoi_far_edge_atr>=1.211(p10),0.0112,64.6,1205,172.3,0.4183,0.5817,0.0,0.2548,12,1.438
2,max_retest_penetration_atr<=1.141(p75) & bars_between_retest_and_break<=2.000(p75),0.0111,65.5,1222,174.7,0.4182,0.581,0.0008,0.2552,13,1.439
1,aoi_far_edge_atr>=1.663(p50),0.0111,52.4,978,139.8,0.4182,0.5818,0.0,0.2546,18,1.438
2,aoi_far_edge_atr>=1.414(p25) & aoi_far_edge_atr>=1.663(p50),0.0111,52.4,978,139.8,0.4182,0.5818,0.0,0.2546,18,1.438
2,aoi_far_edge_atr>=1.211(p10) & aoi_far_edge_atr>=1.663(p50),0.0111,52.4,978,139.8,0.4182,0.5818,0.0,0.2546,18,1.438
2,aoi_far_edge_atr>=1.211(p10) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0109,74.8,1397,199.7,0.418,0.582,0.0,0.2541,9,1.437
2,distance_to_next_htf_obstacle_atr>=0.235(p25) & recent_trend_payoff_atr_24h<=3.209(p90),0.0109,67.3,1256,179.6,0.418,0.5812,0.0008,0.2547,11,1.438
2,break_close_location>=0.496(p10) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0108,87.1,1627,232.6,0.4179,0.5814,0.0006,0.2544,9,1.437
2,break_close_location>=0.496(p10) & aoi_far_edge_atr>=1.211(p10),0.0108,81.9,1529,218.6,0.4179,0.5821,0.0,0.2538,9,1.436
1,break_close_location>=0.636(p25),0.0107,75.9,1417,202.6,0.4178,0.5815,0.0007,0.254,10,1.437
2,break_close_location>=0.496(p10) & break_close_location>=0.636(p25),0.0107,75.9,1417,202.6,0.4178,0.5815,0.0007,0.254,10,1.437
2,htf_range_size_high_atr>=24.415(p10) & signal_candle_range_atr<=1.398(p75),0.0107,61.6,1149,164.3,0.4178,0.5822,0.0,0.2533,11,1.435
2,break_impulse_range_atr<=1.398(p75) & htf_range_size_high_atr>=24.415(p10),0.0107,61.6,1149,164.3,0.4178,0.5822,0.0,0.2533,11,1.435
2,break_close_location>=0.496(p10) & recent_trend_payoff_atr_48h<=2.606(p75),0.0107,68.7,1283,183.4,0.4178,0.5814,0.0008,0.254,11,1.437
2,recent_trend_payoff_atr_48h<=2.606(p75) & aoi_far_edge_atr>=1.211(p10),0.0106,68.0,1269,181.4,0.4177,0.5823,0.0,0.253,12,1.434
2,aoi_far_edge_atr>=1.211(p10) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0106,84.6,1580,225.9,0.4177,0.5823,0.0,0.2532,11,1.435
2,recent_trend_payoff_atr_24h<=3.209(p90) & recent_trend_payoff_atr_48h<=2.606(p75),0.0105,73.7,1377,196.8,0.4176,0.5817,0.0007,0.2533,12,1.435
2,distance_to_next_htf_obstacle_atr>=0.235(p25) & break_close_location>=0.636(p25),0.0104,53.9,1006,143.8,0.4175,0.5815,0.001,0.2533,9,1.436
3,distance_to_next_htf_obstacle_atr>=0.235(p25) & break_close_location>=0.496(p10) & break_close_location>=0.636(p25),0.0104,53.9,1006,143.8,0.4175,0.5815,0.001,0.2533,9,1.436
2,distance_to_next_htf_obstacle_atr>=0.235(p25) & recent_trend_payoff_atr_48h<=2.606(p75),0.0101,57.2,1069,152.8,0.4172,0.5819,0.0009,0.2524,12,1.434
2,break_impulse_body_atr>=0.328(p25) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0099,73.6,1374,196.4,0.417,0.583,0.0,0.2511,11,1.431
2,signal_candle_opposite_extreme_atr>=0.514(p25) & signal_candle_body_atr>=0.328(p25),0.0099,73.6,1374,196.4,0.417,0.583,0.0,0.2511,11,1.431
2,bars_between_retest_and_break<=5.000(p90) & recent_trend_payoff_atr_24h<=3.209(p90),0.0098,81.8,1528,218.4,0.4169,0.5825,0.0007,0.2512,11,1.431
2,htf_range_size_high_atr<=48.734(p75) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0095,68.4,1277,182.6,0.4166,0.5826,0.0008,0.2505,13,1.43
2,bars_between_retest_and_break<=5.000(p90) & break_impulse_range_atr<=1.398(p75),0.0092,61.1,1141,163.1,0.4163,0.5828,0.0009,0.2497,12,1.428
2,bars_between_retest_and_break<=5.000(p90) & signal_candle_range_atr<=1.398(p75),0.0092,61.1,1141,163.1,0.4163,0.5828,0.0009,0.2497,12,1.428
2,recent_trend_payoff_atr_24h<=3.209(p90) & aoi_far_edge_atr>=1.211(p10),0.0091,82.1,1533,219.2,0.4162,0.5838,0.0,0.2485,9,1.426
1,trend_age_impulses>=5.000(p50),0.009,64.5,1204,172.1,0.4161,0.5839,0.0,0.2483,11,1.425
1,distance_to_next_htf_obstacle_atr>=0.235(p25),0.009,72.5,1353,193.4,0.4161,0.5831,0.0007,0.249,12,1.427
2,trend_age_impulses>=4.000(p25) & trend_age_impulses>=5.000(p50),0.009,64.5,1204,172.1,0.4161,0.5839,0.0,0.2483,11,1.425
2,recent_trend_payoff_atr_24h<=3.209(p90) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0089,85.1,1589,227.2,0.416,0.5834,0.0006,0.2485,10,1.426
1,distance_from_last_impulse_atr>=0.856(p50),0.0086,52.7,984,140.7,0.4157,0.5843,0.0,0.247,11,1.423
2,max_retest_penetration_atr<=1.141(p75) & bars_between_retest_and_break<=5.000(p90),0.0085,72.0,1345,192.3,0.4156,0.5836,0.0007,0.2475,13,1.424
2,break_impulse_range_atr<=1.398(p75) & recent_trend_payoff_atr_24h<=3.209(p90),0.0083,60.5,1129,161.4,0.4154,0.5837,0.0009,0.247,11,1.423
2,signal_candle_opposite_extreme_atr>=0.359(p10) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0083,81.6,1524,217.9,0.4154,0.5846,0.0,0.2461,10,1.421
2,recent_trend_payoff_atr_24h<=3.209(p90) & signal_candle_range_atr<=1.398(p75),0.0083,60.5,1129,161.4,0.4154,0.5837,0.0009,0.247,11,1.423
1,signal_candle_opposite_extreme_atr>=0.514(p25),0.0083,81.6,1524,217.9,0.4154,0.5846,0.0,0.2461,10,1.421
2,break_close_location>=0.496(p10) & recent_trend_payoff_atr_24h<=3.209(p90),0.0082,82.2,1534,219.3,0.4153,0.5841,0.0007,0.2463,9,1.422
2,break_impulse_range_atr<=1.398(p75) & recent_trend_payoff_atr_48h<=2.606(p75),0.0082,50.5,944,134.9,0.4153,0.5837,0.0011,0.2467,10,1.423
3,break_impulse_range_atr<=1.398(p75) & recent_trend_payoff_atr_48h<=2.606(p75) & signal_candle_range_atr<=1.398(p75),0.0082,50.5,944,134.9,0.4153,0.5837,0.0011,0.2467,10,1.423
2,recent_trend_payoff_atr_48h<=2.606(p75) & signal_candle_range_atr<=1.398(p75),0.0082,50.5,944,134.9,0.4153,0.5837,0.0011,0.2467,10,1.423
1,trend_age_impulses>=4.000(p25),0.0078,84.7,1581,226.0,0.4149,0.5844,0.0006,0.2453,10,1.42
2,distance_to_next_htf_obstacle_atr>=0.235(p25) & signal_candle_body_atr>=0.328(p25),0.0077,56.3,1051,150.2,0.4148,0.5852,0.0,0.2445,13,1.418
2,distance_to_next_htf_obstacle_atr>=0.235(p25) & break_impulse_body_atr>=0.328(p25),0.0077,56.3,1051,150.2,0.4148,0.5852,0.0,0.2445,13,1.418
1,signal_candle_body_atr>=0.328(p25),0.0074,79.2,1479,211.4,0.4145,0.5855,0.0,0.2434,11,1.416
1,break_impulse_body_atr>=0.328(p25),0.0074,79.2,1479,211.4,0.4145,0.5855,0.0,0.2434,11,1.416
2,break_impulse_body_atr>=0.328(p25) & signal_candle_body_atr>=0.328(p25),0.0074,79.2,1479,211.4,0.4145,0.5855,0.0,0.2434,11,1.416
2,recent_trend_payoff_atr_48h<=2.606(p75) & signal_candle_body_atr>=0.328(p25),0.0074,61.1,1141,163.1,0.4145,0.5855,0.0,0.2436,10,1.416
2,break_impulse_body_atr>=0.328(p25) & recent_trend_payoff_atr_48h<=2.606(p75),0.0074,61.1,1141,163.1,0.4145,0.5855,0.0,0.2436,10,1.416
2,break_impulse_body_atr>=0.328(p25) & break_impulse_body_atr>=0.551(p50),0.0073,56.4,1052,150.4,0.4144,0.5856,0.0,0.2433,10,1.416
1,break_impulse_body_atr>=0.551(p50),0.0073,56.4,1052,150.4,0.4144,0.5856,0.0,0.2433,10,1.416
1,signal_candle_body_atr>=0.551(p50),0.0073,56.4,1052,150.4,0.4144,0.5856,0.0,0.2433,10,1.416
2,signal_candle_body_atr>=0.328(p25) & signal_candle_body_atr>=0.551(p50),0.0073,56.4,1052,150.4,0.4144,0.5856,0.0,0.2433,10,1.416
2,signal_candle_opposite_extreme_atr>=0.514(p25) & signal_candle_body_atr>=0.551(p50),0.0073,56.4,1052,150.4,0.4144,0.5856,0.0,0.2433,10,1.416
2,signal_candle_opposite_extreme_atr>=0.359(p10) & signal_candle_body_atr>=0.551(p50),0.0073,56.4,1052,150.4,0.4144,0.5856,0.0,0.2433,10,1.416
2,break_impulse_body_atr>=0.551(p50) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0073,56.4,1052,150.4,0.4144,0.5856,0.0,0.2433,10,1.416
2,break_impulse_body_atr>=0.551(p50) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0073,56.4,1052,150.4,0.4144,0.5856,0.0,0.2433,10,1.416
2,break_impulse_body_atr>=0.551(p50) & signal_candle_body_atr>=0.328(p25),0.0073,56.4,1052,150.4,0.4144,0.5856,0.0,0.2433,10,1.416
2,break_impulse_body_atr>=0.551(p50) & signal_candle_body_atr>=0.551(p50),0.0073,56.4,1052,150.4,0.4144,0.5856,0.0,0.2433,10,1.416
2,break_impulse_body_atr>=0.328(p25) & signal_candle_body_atr>=0.551(p50),0.0073,56.4,1052,150.4,0.4144,0.5856,0.0,0.2433,10,1.416
2,signal_candle_opposite_extreme_atr>=0.359(p10) & signal_candle_body_atr>=0.328(p25),0.007,78.9,1473,210.6,0.4141,0.5859,0.0,0.2424,11,1.414
2,break_impulse_body_atr>=0.328(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.007,78.9,1473,210.6,0.4141,0.5859,0.0,0.2424,11,1.414
2,break_impulse_body_atr>=0.328(p25) & recent_trend_payoff_atr_24h<=3.209(p90),0.0067,73.0,1363,194.8,0.4138,0.5862,0.0,0.2414,11,1.412
2,recent_trend_payoff_atr_24h<=3.209(p90) & signal_candle_body_atr>=0.328(p25),0.0067,73.0,1363,194.8,0.4138,0.5862,0.0,0.2414,11,1.412
2,bars_between_retest_and_break<=5.000(p90) & htf_range_size_high_atr<=48.734(p75),0.0067,66.1,1235,176.5,0.4138,0.5854,0.0008,0.242,16,1.413
1,max_retest_penetration_atr<=1.141(p75),0.0067,73.9,1380,197.3,0.4138,0.5855,0.0007,0.2419,10,1.413
1,signal_candle_opposite_extreme_atr>=0.359(p10),0.0064,92.9,1734,247.9,0.4135,0.5859,0.0006,0.241,10,1.411
3,break_close_location>=0.496(p10) & break_impulse_range_atr<=1.398(p75) & signal_candle_range_atr<=1.398(p75),0.0062,60.2,1125,160.8,0.4133,0.5858,0.0009,0.2408,12,1.411
1,htf_range_size_high_atr>=24.415(p10),0.0062,90.9,1696,242.5,0.4133,0.5867,0.0,0.24,10,1.409
2,break_close_location>=0.496(p10) & break_impulse_range_atr<=1.398(p75),0.0062,60.2,1125,160.8,0.4133,0.5858,0.0009,0.2408,12,1.411
2,break_close_location>=0.496(p10) & signal_candle_range_atr<=1.398(p75),0.0062,60.2,1125,160.8,0.4133,0.5858,0.0009,0.2408,12,1.411
2,recent_trend_payoff_atr_24h<=3.209(p90) & htf_range_size_high_atr<=48.734(p75),0.0061,66.4,1239,177.1,0.4132,0.586,0.0008,0.2404,14,1.41
1,bars_between_retest_and_break<=5.000(p90),0.006,89.7,1675,239.4,0.4131,0.5863,0.0006,0.2399,12,1.409
1,recent_trend_payoff_atr_48h<=2.606(p75),0.0057,75.9,1417,202.6,0.4128,0.5865,0.0007,0.2391,13,1.408
1,signal_candle_range_atr<=1.398(p75),0.0057,67.6,1262,180.4,0.4128,0.5864,0.0008,0.2392,11,1.408
2,break_impulse_range_atr<=1.398(p75) & signal_candle_range_atr<=1.398(p75),0.0057,67.6,1262,180.4,0.4128,0.5864,0.0008,0.2392,11,1.408
1,break_impulse_range_atr<=1.398(p75),0.0057,67.6,1262,180.4,0.4128,0.5864,0.0008,0.2392,11,1.408
1,aoi_far_edge_atr>=1.211(p10),0.0054,90.3,1685,240.9,0.4125,0.5875,0.0,0.2374,9,1.404
1,htf_range_size_high_atr>=38.457(p50),0.0052,52.2,975,139.4,0.4123,0.5877,0.0,0.2369,13,1.403
2,break_impulse_body_atr>=0.551(p50) & recent_trend_payoff_atr_24h<=3.209(p90),0.0052,52.2,975,139.4,0.4123,0.5877,0.0,0.2369,11,1.403
2,htf_range_size_high_atr>=24.415(p10) & htf_range_size_high_atr>=38.457(p50),0.0052,52.2,975,139.4,0.4123,0.5877,0.0,0.2369,13,1.403
2,recent_trend_payoff_atr_24h<=3.209(p90) & signal_candle_body_atr>=0.551(p50),0.0052,52.2,975,139.4,0.4123,0.5877,0.0,0.2369,11,1.403
1,htf_range_size_high_atr<=48.734(p75),0.005,72.8,1359,194.3,0.4121,0.5872,0.0007,0.2368,14,1.403
1,break_close_location>=0.496(p10),0.005,90.2,1684,240.7,0.4121,0.5873,0.0006,0.2369,9,1.403
1,recent_trend_payoff_atr_24h<=-0.373(p50),0.0049,50.8,949,135.7,0.412,0.5869,0.0011,0.2369,12,1.404
2,recent_trend_payoff_atr_24h<=-0.373(p50) & recent_trend_payoff_atr_24h<=3.209(p90),0.0049,50.8,949,135.7,0.412,0.5869,0.0011,0.2369,12,1.404
1,recent_trend_payoff_atr_24h<=3.209(p90),0.0048,91.2,1702,243.3,0.4119,0.5875,0.0006,0.2361,10,1.402
1,bullish_only,0.0047,54.4,1015,145.1,0.4118,0.5872,0.001,0.2363,9,1.402
1,trend_age_impulses<=7.000(p90),0.0046,93.1,1739,248.6,0.4117,0.5877,0.0006,0.2357,10,1.401
1,max_retest_penetration_atr<=1.547(p90),0.0044,90.5,1689,241.5,0.4115,0.5879,0.0006,0.235,12,1.4
1,trend_age_impulses>=3.000(p10),0.0038,95.0,1774,253.6,0.4109,0.5885,0.0006,0.2333,10,1.396
1,htf_range_size_high_atr>=30.576(p25),0.0038,77.6,1448,207.0,0.4109,0.5891,0.0,0.2327,16,1.395
1,distance_to_next_htf_obstacle_atr>=0.089(p10),0.0038,88.1,1645,235.2,0.4109,0.5884,0.0006,0.2334,10,1.396
1,session_directional_bias<=0.240(p75),0.0037,64.3,1200,171.5,0.4108,0.5892,0.0,0.2325,18,1.395
2,max_retest_penetration_atr<=1.141(p75) & htf_range_size_high_atr<=48.734(p75),0.0035,53.4,996,142.4,0.4106,0.5884,0.001,0.2328,16,1.396
1,recent_trend_payoff_atr_48h<=4.965(p90),0.0032,90.5,1689,241.5,0.4103,0.5891,0.0006,0.2314,13,1.393
1,distance_from_last_impulse_atr<=3.250(p90),0.0028,89.5,1671,238.9,0.4099,0.5895,0.0006,0.2303,10,1.391
1,recent_trend_payoff_atr_24h>=-3.936(p10),0.0028,90.0,1681,240.3,0.4099,0.5895,0.0006,0.2301,10,1.39
1,distance_from_last_impulse_atr>=0.369(p25),0.0026,77.1,1440,205.9,0.4097,0.5903,0.0,0.2292,13,1.388
1,trend_age_bars_1h<=24.000(p90),0.0025,90.6,1692,241.9,0.4096,0.5898,0.0006,0.2292,12,1.389
1,retest_candle_body_penetration>=0.261(p25),0.0025,78.5,1465,209.4,0.4096,0.5898,0.0007,0.2293,10,1.389
1,htf_range_size_high_atr<=60.547(p90),0.0023,89.6,1673,239.2,0.4094,0.59,0.0006,0.2288,11,1.388
1,signal_candle_range_atr>=0.580(p10),0.0022,94.8,1769,252.9,0.4093,0.5907,0.0,0.2278,10,1.386
1,break_impulse_range_atr>=0.580(p10),0.0022,94.8,1769,252.9,0.4093,0.5907,0.0,0.2278,10,1.386
1,recent_trend_payoff_atr_24h<=1.419(p75),0.0021,77.2,1442,206.1,0.4092,0.5902,0.0007,0.2281,10,1.386
1,signal_candle_opposite_extreme_atr>=0.747(p50),0.002,58.6,1095,156.5,0.4091,0.5909,0.0,0.2274,10,1.385
1,distance_from_last_impulse_atr>=0.144(p10),0.002,90.7,1694,242.2,0.4091,0.5903,0.0006,0.2278,11,1.386
1,signal_candle_range_atr>=1.037(p50),0.0017,59.9,1118,159.8,0.4088,0.5912,0.0,0.2263,13,1.383
1,break_impulse_range_atr>=1.037(p50),0.0017,59.9,1118,159.8,0.4088,0.5912,0.0,0.2263,13,1.383
1,retest_candle_body_penetration<=0.908(p90),0.0016,89.1,1664,237.9,0.4087,0.5907,0.0006,0.2265,10,1.383
1,aoi_near_edge_atr>=0.117(p25),0.0009,77.4,1446,206.7,0.408,0.592,0.0,0.2241,9,1.379
1,signal_candle_body_atr>=0.184(p10),0.0008,92.4,1726,246.7,0.4079,0.5915,0.0006,0.2241,10,1.379
1,break_impulse_body_atr>=0.184(p10),0.0008,92.4,1726,246.7,0.4079,0.5915,0.0006,0.2241,10,1.379
1,aoi_time_since_last_touch>=0.000(p25),0.0006,99.9,1864,266.5,0.4077,0.5917,0.0005,0.2236,10,1.378
1,aoi_time_since_last_touch>=0.000(p10),0.0006,99.9,1864,266.5,0.4077,0.5917,0.0005,0.2236,10,1.378
1,aoi_time_since_last_touch>=0.000(p50),0.0006,99.9,1864,266.5,0.4077,0.5917,0.0005,0.2236,10,1.378
1,session_directional_bias<=0.913(p90),0.0005,77.4,1445,206.6,0.4076,0.5924,0.0,0.2228,13,1.376
1,geo_aoi_height_atr<=1.785(p90),0.0005,92.1,1720,245.9,0.4076,0.5919,0.0006,0.2232,10,1.377
1,aoi_height_atr<=1.785(p90),0.0005,92.1,1720,245.9,0.4076,0.5919,0.0006,0.2232,10,1.377
1,aoi_height_atr>=1.144(p25),0.0003,72.8,1360,194.4,0.4074,0.5926,0.0,0.2221,11,1.375
