depth,gates,delta_win,retain_pct,n_trades,trades_per_year,win_pct,sl_pct,timeout_pct,expectancy_r,max_losing_streak,profit_factor
2,bars_between_retest_and_break<=2.000(p75) & break_close_location>=0.496(p10),0.022,66.9,1249,178.6,0.4291,0.5701,0.0008,0.2881,10,1.505
3,max_retest_penetration_atr<=1.141(p75) & break_close_location>=0.496(p10) & signal_candle_opposite_extreme_atr>=0.359(p10),0.022,63.4,1184,169.3,0.4291,0.5701,0.0008,0.2879,10,1.505
3,break_close_location>=0.636(p25) & recent_trend_payoff_atr_48h<=2.606(p75) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0219,57.7,1077,154.0,0.429,0.5701,0.0009,0.2877,12,1.505
2,trend_age_impulses>=5.000(p50) & aoi_far_edge_atr>=1.414(p25),0.0219,50.5,944,134.9,0.429,0.571,0.0,0.2871,10,1.503
2,bars_between_retest_and_break<=2.000(p75) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0218,68.9,1287,184.0,0.4289,0.5703,0.0008,0.2874,10,1.504
2,bars_between_retest_and_break<=1.000(p50) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0217,60.2,1124,160.7,0.4288,0.5703,0.0009,0.2872,14,1.504
3,bars_between_retest_and_break<=1.000(p50) & bars_between_retest_and_break<=2.000(p75) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0217,60.2,1124,160.7,0.4288,0.5703,0.0009,0.2872,14,1.504
2,htf_range_size_high_atr>=24.415(p10) & aoi_near_edge_atr>=0.271(p50),0.0216,50.4,940,134.4,0.4287,0.5713,0.0,0.2862,11,1.501
2,break_close_location>=0.636(p25) & htf_range_size_high_atr<=48.734(p75),0.0216,56.0,1045,149.4,0.4287,0.5703,0.001,0.2869,16,1.503
2,bars_between_retest_and_break<=2.000(p75) & htf_range_size_high_atr>=24.415(p10),0.0216,67.6,1262,180.4,0.4287,0.5713,0.0,0.2861,11,1.501
2,bars_between_retest_and_break<=1.000(p50) & htf_range_size_high_atr>=24.415(p10),0.0215,59.2,1106,158.1,0.4286,0.5714,0.0,0.2857,14,1.5
2,bars_between_retest_and_break<=2.000(p75) & aoi_far_edge_atr>=1.211(p10),0.0215,66.7,1246,178.1,0.4286,0.5714,0.0,0.2857,9,1.5
2,bars_between_retest_and_break<=2.000(p75) & break_impulse_body_atr>=0.328(p25),0.0213,58.0,1083,154.8,0.4284,0.5716,0.0,0.2853,10,1.499
2,bars_between_retest_and_break<=2.000(p75) & signal_candle_body_atr>=0.328(p25),0.0213,58.0,1083,154.8,0.4284,0.5716,0.0,0.2853,10,1.499
3,max_retest_penetration_atr<=1.141(p75) & break_close_location>=0.496(p10) & aoi_far_edge_atr>=1.414(p25),0.021,51.0,953,136.2,0.4281,0.5719,0.0,0.2844,10,1.497
2,bars_between_retest_and_break<=2.000(p75) & recent_trend_payoff_atr_24h<=3.209(p90),0.0209,68.1,1271,181.7,0.428,0.5712,0.0008,0.2847,10,1.498
2,bars_between_retest_and_break<=1.000(p50) & aoi_far_edge_atr>=1.211(p10),0.0208,58.3,1089,155.7,0.4279,0.5721,0.0,0.2837,11,1.496
2,break_close_location>=0.636(p25) & signal_candle_body_atr>=0.551(p50),0.0207,50.5,942,134.7,0.4278,0.5722,0.0,0.2834,9,1.495
2,break_close_location>=0.636(p25) & break_impulse_body_atr>=0.551(p50),0.0207,50.5,942,134.7,0.4278,0.5722,0.0,0.2834,9,1.495
2,bars_between_retest_and_break<=2.000(p75) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0205,60.2,1125,160.8,0.4276,0.5724,0.0,0.2827,9,1.494
2,bars_between_retest_and_break<=1.000(p50) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0205,52.5,980,140.1,0.4276,0.5724,0.0,0.2827,14,1.494
3,max_retest_penetration_atr<=1.141(p75) & bars_between_retest_and_break<=2.000(p75) & break_close_location>=0.496(p10),0.0204,58.4,1090,155.8,0.4275,0.5716,0.0009,0.2834,11,1.496
3,distance_to_next_htf_obstacle_atr>=0.235(p25) & aoi_far_edge_atr>=1.414(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0204,50.6,945,135.1,0.4275,0.5725,0.0,0.2825,9,1.494
2,bars_between_retest_and_break<=5.000(p90) & aoi_far_edge_atr>=1.414(p25),0.0204,67.3,1256,179.6,0.4275,0.5725,0.0,0.2826,13,1.494
2,break_impulse_body_atr>=0.328(p25) & aoi_far_edge_atr>=1.414(p25),0.0204,64.6,1207,172.5,0.4275,0.5725,0.0,0.2825,11,1.493
2,bars_between_retest_and_break<=5.000(p90) & aoi_near_edge_atr>=0.271(p50),0.0204,50.2,938,134.1,0.4275,0.5725,0.0,0.2825,17,1.493
2,aoi_far_edge_atr>=1.414(p25) & signal_candle_body_atr>=0.328(p25),0.0204,64.6,1207,172.5,0.4275,0.5725,0.0,0.2825,11,1.493
3,break_close_location>=0.496(p10) & trend_age_impulses>=5.000(p50) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0202,55.3,1032,147.5,0.4273,0.5727,0.0,0.282,7,1.492
3,max_retest_penetration_atr<=1.141(p75) & bars_between_retest_and_break<=2.000(p75) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0201,59.9,1119,160.0,0.4272,0.5719,0.0009,0.2823,12,1.493
3,break_close_location>=0.636(p25) & aoi_far_edge_atr>=1.414(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0198,59.3,1108,158.4,0.4269,0.5731,0.0,0.2807,11,1.49
2,bars_between_retest_and_break<=1.000(p50) & break_impulse_body_atr>=0.328(p25),0.0198,50.5,944,134.9,0.4269,0.5731,0.0,0.2807,12,1.49
2,bars_between_retest_and_break<=1.000(p50) & signal_candle_body_atr>=0.328(p25),0.0198,50.5,944,134.9,0.4269,0.5731,0.0,0.2807,12,1.49
3,max_retest_penetration_atr<=1.141(p75) & bars_between_retest_and_break<=1.000(p50) & break_close_location>=0.496(p10),0.0196,52.6,982,140.4,0.4267,0.5723,0.001,0.2809,10,1.491
3,max_retest_penetration_atr<=1.141(p75) & aoi_far_edge_atr>=1.414(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0196,52.2,975,139.4,0.4267,0.5733,0.0,0.28,10,1.488
3,break_close_location>=0.496(p10) & recent_trend_payoff_atr_48h<=2.606(p75) & aoi_far_edge_atr>=1.414(p25),0.0193,52.8,985,140.8,0.4264,0.5736,0.0,0.2792,11,1.487
3,break_close_location>=0.496(p10) & aoi_far_edge_atr>=1.414(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0192,68.7,1283,183.4,0.4263,0.5737,0.0,0.279,9,1.486
3,bars_between_retest_and_break<=1.000(p50) & bars_between_retest_and_break<=2.000(p75) & break_close_location>=0.496(p10),0.019,58.3,1089,155.7,0.4261,0.573,0.0009,0.279,15,1.487
2,bars_between_retest_and_break<=1.000(p50) & break_close_location>=0.496(p10),0.019,58.3,1089,155.7,0.4261,0.573,0.0009,0.279,15,1.487
2,break_close_location>=0.636(p25) & trend_age_impulses>=4.000(p25),0.0188,64.0,1195,170.8,0.4259,0.5732,0.0008,0.2785,12,1.486
2,bars_between_retest_and_break<=1.000(p50) & recent_trend_payoff_atr_24h<=3.209(p90),0.0188,60.0,1120,160.1,0.4259,0.5732,0.0009,0.2784,15,1.486
2,trend_age_impulses>=4.000(p25) & aoi_far_edge_atr>=1.414(p25),0.0187,65.3,1219,174.3,0.4258,0.5742,0.0,0.2773,11,1.483
2,htf_range_size_high_atr<=48.734(p75) & aoi_far_edge_atr>=1.414(p25),0.0185,53.6,1001,143.1,0.4256,0.5744,0.0,0.2767,10,1.482
3,break_close_location>=0.496(p10) & break_close_location>=0.636(p25) & recent_trend_payoff_atr_48h<=2.606(p75),0.0182,58.4,1091,156.0,0.4253,0.5738,0.0009,0.2767,12,1.482
2,trend_age_impulses>=5.000(p50) & signal_candle_opposite_extreme_atr>=0.514(p25),0.0182,50.9,950,135.8,0.4253,0.5747,0.0,0.2758,9,1.48
2,bars_between_retest_and_break<=5.000(p90) & break_close_location>=0.636(p25),0.0182,67.4,1258,179.8,0.4253,0.5739,0.0008,0.2765,10,1.482
2,distance_to_next_htf_obstacle_atr>=0.235(p25) & trend_age_impulses>=4.000(p25),0.0182,60.6,1131,161.7,0.4253,0.5738,0.0009,0.2766,13,1.482
2,break_close_location>=0.636(p25) & recent_trend_payoff_atr_48h<=2.606(p75),0.0182,58.4,1091,156.0,0.4253,0.5738,0.0009,0.2767,12,1.482
3,distance_to_next_htf_obstacle_atr>=0.235(p25) & break_close_location>=0.496(p10) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0177,62.3,1163,166.3,0.4248,0.5744,0.0009,0.275,11,1.479
2,bars_between_retest_and_break<=5.000(p90) & distance_to_next_htf_obstacle_atr>=0.235(p25),0.0177,67.0,1250,178.7,0.4248,0.5744,0.0008,0.2751,10,1.479
2,recent_trend_payoff_atr_48h<=2.606(p75) & trend_age_impulses>=4.000(p25),0.0176,61.9,1156,165.3,0.4247,0.5744,0.0009,0.275,14,1.479
2,recent_trend_payoff_atr_24h<=3.209(p90) & aoi_far_edge_atr>=1.414(p25),0.0174,69.2,1291,184.6,0.4245,0.5755,0.0,0.2734,9,1.475
2,bars_between_retest_and_break<=2.000(p75) & trend_age_impulses>=4.000(p25),0.0174,63.8,1192,170.4,0.4245,0.5747,0.0008,0.2742,9,1.477
2,recent_trend_payoff_atr_48h<=2.606(p75) & aoi_far_edge_atr>=1.414(p25),0.0173,56.7,1058,151.2,0.4244,0.5756,0.0,0.2732,11,1.475
