label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor,direction,gate_form,threshold,filter_dir
bear>=0.65 & bull>=0.65,706,100.9,0.3952,0.1856,10,1.307,combined,bear_htf>=0.65_bull_htf>=0.65,0.65,split_high
bear>=0.7 & bull>=0.3,911,130.2,0.4281,0.2852,10,1.5,combined,bear_htf>=0.7_bull_htf>=0.3,0.7,split_high
bear>=0.7 & bull>=0.35,880,125.8,0.4239,0.2726,10,1.474,combined,bear_htf>=0.7_bull_htf>=0.35,0.7,split_high
bear>=0.7 & bull>=0.4,843,120.5,0.4223,0.2679,10,1.465,combined,bear_htf>=0.7_bull_htf>=0.4,0.7,split_high
bear>=0.7 & bull>=0.45,807,115.4,0.4213,0.265,9,1.459,combined,bear_htf>=0.7_bull_htf>=0.45,0.7,split_high
bear>=0.7 & bull<=0.5,709,101.4,0.4006,0.2017,10,1.336,combined,bear_htf>=0.7_bull_htf<=0.5,0.7,split_low
bear>=0.7 & bull>=0.5,766,109.5,0.4204,0.2622,11,1.453,combined,bear_htf>=0.7_bull_htf>=0.5,0.7,split_high
bear>=0.7 & bull<=0.55,751,107.4,0.4048,0.2144,10,1.36,combined,bear_htf>=0.7_bull_htf<=0.55,0.7,split_low
bear>=0.7 & bull>=0.55,724,103.5,0.4171,0.2526,11,1.434,combined,bear_htf>=0.7_bull_htf>=0.55,0.7,split_high
bear>=0.7 & bull<=0.6,791,113.1,0.4197,0.2592,9,1.447,combined,bear_htf>=0.7_bull_htf<=0.6,0.7,split_low
bear>=0.7 & bull<=0.65,810,115.8,0.4185,0.2566,9,1.442,combined,bear_htf>=0.7_bull_htf<=0.65,0.7,split_low
bear>=0.75 & bull>=0.3,879,125.7,0.4289,0.2877,10,1.505,combined,bear_htf>=0.75_bull_htf>=0.3,0.75,split_high
bear>=0.75 & bull>=0.35,848,121.2,0.4245,0.2746,9,1.478,combined,bear_htf>=0.75_bull_htf>=0.35,0.75,split_high
bear>=0.75 & bull>=0.4,811,115.9,0.4229,0.2699,9,1.469,combined,bear_htf>=0.75_bull_htf>=0.4,0.75,split_high
bear>=0.75 & bull>=0.45,775,110.8,0.4219,0.2669,9,1.463,combined,bear_htf>=0.75_bull_htf>=0.45,0.75,split_high
bear>=0.75 & bull>=0.5,734,104.9,0.421,0.2641,11,1.457,combined,bear_htf>=0.75_bull_htf>=0.5,0.75,split_high
bear>=0.75 & bull<=0.55,719,102.8,0.4047,0.2142,10,1.36,combined,bear_htf>=0.75_bull_htf<=0.55,0.75,split_low
bear>=0.75 & bull<=0.6,759,108.5,0.4203,0.2609,10,1.45,combined,bear_htf>=0.75_bull_htf<=0.6,0.75,split_low
bear>=0.75 & bull<=0.65,778,111.2,0.419,0.2582,10,1.445,combined,bear_htf>=0.75_bull_htf<=0.65,0.75,split_low
bear>=0.8 & bull>=0.3,850,121.5,0.4306,0.2928,10,1.515,combined,bear_htf>=0.8_bull_htf>=0.3,0.8,split_high
bear>=0.8 & bull>=0.35,819,117.1,0.4261,0.2794,9,1.488,combined,bear_htf>=0.8_bull_htf>=0.35,0.8,split_high
bear>=0.8 & bull>=0.4,782,111.8,0.4246,0.2748,9,1.478,combined,bear_htf>=0.8_bull_htf>=0.4,0.8,split_high
bear>=0.8 & bull>=0.45,746,106.6,0.4236,0.2719,9,1.473,combined,bear_htf>=0.8_bull_htf>=0.45,0.8,split_high
bear>=0.8 & bull>=0.5,705,100.8,0.4227,0.2693,11,1.467,combined,bear_htf>=0.8_bull_htf>=0.5,0.8,split_high
bear>=0.8 & bull<=0.6,730,104.4,0.4219,0.2658,13,1.46,combined,bear_htf>=0.8_bull_htf<=0.6,0.8,split_low
bear>=0.8 & bull<=0.65,749,107.1,0.4206,0.2628,9,1.455,combined,bear_htf>=0.8_bull_htf<=0.65,0.8,split_low
dir_split_htf>=0.4/<=0.6 & bars_between_retest_and_break<=2,773,110.5,0.4373,0.3118,11,1.554,combined,dir_split_htf>=0.4/<=0.6 & bars_between_retest_and_break<=2,0.4,dir_split_gate
