bear_hard,bull_hard,min_dir_score,min_uni_score,avail_bear,avail_bull,avail_uni,bear_features,bull_features,uni_features,bear_win,bear_tpy,bull_win,bull_tpy,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
none,sbias>=0.2+tc<=5,3,0,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4419,145.2,,,1085,155.1,0.4461,0.3429,14,1.622
none,sbias>=0.2+opp<=0.87,3,0,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4419,145.2,,,1085,155.1,0.4461,0.3429,14,1.622
none,sbias>=0.2,3,2,5,4,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4444,139.0,,,1111,158.8,0.4455,0.3411,15,1.618
tc<=3+dist>=0.21,none,1,3,3,5,4,near<=0.32|range<=1.14|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4203,166.0,1451,207.4,0.4452,0.3517,14,1.644
tc<=3,none,2,0,4,5,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.5115,62.3,0.4229,188.3,1753,250.6,0.445,0.3466,13,1.632
none,sbias>=0.2+tc<=5,3,1,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4406,144.4,,,1079,154.2,0.4449,0.3392,14,1.614
none,sbias>=0.2+opp<=0.87,3,1,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4406,144.4,,,1079,154.2,0.4449,0.3392,14,1.614
none,sbias>=0.2,2,3,5,4,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4381,150.1,,,1210,173.0,0.4446,0.3396,15,1.615
tc<=3+range<=1.14,none,0,4,3,5,4,near<=0.32|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4174,80.5,695,99.4,0.4446,0.3488,8,1.638
tc<=3,none,2,1,4,5,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.5104,61.6,0.422,187.0,1739,248.6,0.4439,0.3437,13,1.626
tc<=3,none,0,3,4,5,4,near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4143,171.8,1603,229.2,0.4435,0.3458,12,1.632
tc<=3+range<=1.14,none,2,2,3,5,4,near<=0.32|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4242,176.3,1489,212.9,0.4433,0.3429,12,1.624
none,sbias>=0.2,3,0,5,4,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4419,145.2,,,1162,166.1,0.4432,0.3339,15,1.603
none,none,3,2,5,5,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4444,139.0,0.4407,115.8,1782,254.7,0.4428,0.3328,16,1.6
tc<=3+range<=1.14,none,2,0,3,5,4,near<=0.32|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4229,188.3,1583,226.3,0.4428,0.3408,12,1.619
tc<=3+range<=1.14,none,2,1,3,5,4,near<=0.32|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.422,187.0,1571,224.6,0.4424,0.3396,12,1.617
none,sbias>=0.2,3,1,5,4,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4406,144.4,,,1156,165.3,0.442,0.3305,15,1.595
tc<=3+dist>=0.21,none,2,2,3,5,4,near<=0.32|range<=1.14|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4242,176.3,1479,211.4,0.4415,0.3378,12,1.613
tc<=3+dist>=0.21,none,2,0,3,5,4,near<=0.32|range<=1.14|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4229,188.3,1570,224.4,0.4414,0.3367,12,1.61
none,none,4,4,5,5,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,,,442,63.2,0.4412,0.3306,15,1.596
