depth,gates,delta_win,retain_pct,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
1,max_retest_penetration_atr<=1.25,0.0092,79.7,1487,212.6,0.4163,0.2494,10,1.428
1,trend_age_impulses>=5,0.009,64.5,1204,172.1,0.4161,0.2483,11,1.425
1,signal_candle_opposite_extreme_atr>=0.5,0.0088,82.8,1546,221.0,0.4159,0.2477,10,1.424
1,distance_to_next_htf_obstacle_atr>=0.3,0.0081,65.7,1226,175.3,0.4152,0.2462,11,1.422
1,aoi_near_edge_atr>=0.25,0.0079,58.0,1082,154.7,0.415,0.2449,14,1.419
1,trend_age_impulses>=4,0.0078,84.7,1581,226.0,0.4149,0.2453,10,1.42
1,recent_trend_payoff_atr_48h<=2.0,0.0071,71.1,1328,189.8,0.4142,0.2431,13,1.415
1,break_close_location>=0.6,0.007,79.8,1490,213.0,0.4141,0.2429,11,1.415
1,distance_from_last_impulse_atr>=0.75,0.0069,56.7,1058,151.2,0.414,0.242,11,1.413
1,bars_between_retest_and_break<=4,0.0068,86.2,1609,230.0,0.4139,0.2423,12,1.414
1,signal_candle_opposite_extreme_atr>=0.4,0.0062,90.5,1689,241.5,0.4133,0.2398,10,1.409
1,recent_trend_payoff_atr_48h<=2.5,0.0058,75.0,1400,200.1,0.4129,0.2392,13,1.408
1,aoi_far_edge_atr>=1.25,0.0057,87.8,1640,234.4,0.4128,0.2384,9,1.406
1,break_close_location>=0.5,0.0052,90.0,1681,240.3,0.4123,0.2373,9,1.404
1,distance_to_next_htf_obstacle_atr>=0.1,0.0052,86.8,1620,231.6,0.4123,0.2376,10,1.405
1,recent_trend_payoff_atr_48h<=4.0,0.0049,85.5,1597,228.3,0.412,0.2366,13,1.403
1,max_retest_penetration_atr<=1.5,0.0047,88.7,1656,236.7,0.4118,0.236,11,1.402
1,distance_to_next_htf_obstacle_atr>=0.2,0.0045,75.7,1414,202.1,0.4116,0.2354,12,1.4
1,recent_trend_payoff_atr_48h<=3.0,0.0043,78.9,1473,210.6,0.4114,0.2348,13,1.399
1,signal_candle_opposite_extreme_atr>=0.35,0.0042,93.6,1748,249.9,0.4113,0.2345,10,1.399
1,aoi_near_edge_atr>=0.2,0.0039,65.3,1219,174.3,0.411,0.233,9,1.396
1,trend_age_impulses>=3,0.0038,95.0,1774,253.6,0.4109,0.2333,10,1.396
1,signal_candle_opposite_extreme_atr>=0.3,0.0034,96.0,1793,256.3,0.4105,0.2319,10,1.394
1,recent_trend_payoff_atr_48h<=5.0,0.0031,90.6,1692,241.9,0.4102,0.231,13,1.392
1,htf_range_size_mid_atr>=10,0.0031,98.7,1843,263.5,0.4102,0.2311,12,1.392
1,signal_candle_opposite_extreme_atr>=0.75,0.003,58.1,1085,155.1,0.4101,0.2304,10,1.391
1,distance_from_last_impulse_atr>=0.5,0.0024,68.9,1287,184.0,0.4095,0.2284,11,1.387
1,break_close_location>=0.4,0.0023,95.2,1778,254.2,0.4094,0.2288,10,1.388
1,htf_range_size_mid_atr>=20,0.001,58.0,1083,154.8,0.4081,0.2244,10,1.379
1,break_close_location>=0.3,0.001,98.2,1833,262.0,0.4081,0.2247,10,1.38
1,signal_candle_opposite_extreme_atr>=0.25,0.0009,97.8,1826,261.0,0.408,0.2245,10,1.379
1,recent_trend_payoff_atr_48h<=1.5,0.0008,65.4,1221,174.5,0.4079,0.2243,12,1.379
1,trend_age_impulses>=2,0.0002,99.1,1851,264.6,0.4073,0.2225,10,1.376
1,signal_candle_opposite_extreme_atr>=0.2,0.0002,99.1,1851,264.6,0.4073,0.2225,10,1.376
1,aoi_far_edge_atr>=0.5,0.0002,100.0,1866,266.8,0.4073,0.2219,10,1.374
1,signal_candle_opposite_extreme_atr>=0.1,-0.0001,99.9,1865,266.6,0.407,0.2214,10,1.374
1,htf_range_size_mid_atr>=15,-0.0002,85.2,1590,227.3,0.4069,0.2208,16,1.372
1,max_retest_penetration_atr<=2.0,-0.0003,97.2,1814,259.3,0.4068,0.221,12,1.373
1,distance_from_last_impulse_atr>=0.25,-0.0016,83.6,1561,223.2,0.4055,0.2171,13,1.365
1,aoi_far_edge_atr>=1.0,-0.0019,97.2,1814,259.3,0.4052,0.2155,10,1.362
1,aoi_near_edge_atr>=0.1,-0.002,80.1,1496,213.9,0.4051,0.2152,9,1.362
1,recent_trend_payoff_atr_48h<=1.0,-0.0051,59.8,1117,159.7,0.402,0.2067,11,1.346
