sl_model,group,symbols,best_window,best_window_hours,viable,grp_n_trades,grp_trades_per_year,grp_win_pct,grp_expectancy_r,grp_max_losing_streak,grp_profit_factor
SL_ATR_1_0,usd_majors,"['AUDUSD', 'EURUSD', 'GBPUSD', 'NZDUSD', 'USDCAD', 'USDCHF']",h21+5h,"[21, 22, 23, 0, 1]",False,980,140.1,0.3439,0.0316,14,1.048
SL_ATR_1_5,commodity,"['AUDCAD', 'AUDCHF', 'NZDCAD', 'NZDCHF']",h03+4h,"[3, 4, 5, 6]",False,467,66.8,0.3383,0.0261,16,1.04
SL_ATR_1_5,eur_crosses,"['EURAUD', 'EURCAD', 'EURCHF', 'EURGBP', 'EURNZD']",h01+4h,"[1, 2, 3, 4]",True,637,91.1,0.3689,0.1111,14,1.177
SL_ATR_1_5,gbp_crosses,"['GBPAUD', 'GBPCAD', 'GBPCHF', 'GBPNZD']",h04+3h,"[4, 5, 6]",False,438,62.6,0.3447,0.049,13,1.075
SL_ATR_1_5,jpy_pairs,"['AUDJPY', 'CADJPY', 'CHFJPY', 'EURJPY', 'GBPJPY', 'NZDJPY', 'USDJPY']",h12+3h,"[12, 13, 14]",True,945,135.1,0.3746,0.1475,12,1.241
SL_ATR_1_5,usd_majors,"['AUDUSD', 'EURUSD', 'GBPUSD', 'NZDUSD', 'USDCAD', 'USDCHF']",h16+3h,"[16, 17, 18]",False,537,76.8,0.3426,0.0479,13,1.074
SL_ATR_2_0,commodity,"['AUDCAD', 'AUDCHF', 'NZDCAD', 'NZDCHF']",h03+3h,"[3, 4, 5]",False,323,46.2,0.3313,0.0317,19,1.049
SL_ATR_2_0,eur_crosses,"['EURAUD', 'EURCAD', 'EURCHF', 'EURGBP', 'EURNZD']",h23+3h,"[23, 0, 1]",False,581,83.1,0.3597,0.122,15,1.198
SL_ATR_2_0,gbp_crosses,"['GBPAUD', 'GBPCAD', 'GBPCHF', 'GBPNZD']",h06+4h,"[6, 7, 8, 9]",False,721,103.1,0.3384,0.0823,13,1.132
SL_ATR_2_0,jpy_pairs,"['AUDJPY', 'CADJPY', 'CHFJPY', 'EURJPY', 'GBPJPY', 'NZDJPY', 'USDJPY']",h12+3h,"[12, 13, 14]",True,945,135.1,0.3651,0.1838,10,1.317
SL_ATR_2_0,usd_majors,"['AUDUSD', 'EURUSD', 'GBPUSD', 'NZDUSD', 'USDCAD', 'USDCHF']",h20+3h,"[20, 21, 22]",False,465,66.5,0.3505,0.0763,17,1.12
SL_SIGNAL_CANDLE,commodity,"['AUDCAD', 'AUDCHF', 'NZDCAD', 'NZDCHF']",h15+3h,"[15, 16, 17]",False,398,56.9,0.3543,0.0702,10,1.11
SL_SIGNAL_CANDLE,eur_crosses,"['EURAUD', 'EURCAD', 'EURCHF', 'EURGBP', 'EURNZD']",h11+3h,"[11, 12, 13]",False,630,90.1,0.3476,0.0736,16,1.116
SL_SIGNAL_CANDLE,gbp_crosses,"['GBPAUD', 'GBPCAD', 'GBPCHF', 'GBPNZD']",h02+4h,"[2, 3, 4, 5]",False,537,76.8,0.3389,0.0207,13,1.031
SL_SIGNAL_CANDLE,jpy_pairs,"['AUDJPY', 'CADJPY', 'CHFJPY', 'EURJPY', 'GBPJPY', 'NZDJPY', 'USDJPY']",h12+3h,"[12, 13, 14]",True,945,135.1,0.3757,0.1579,16,1.259
SL_SIGNAL_CANDLE,usd_majors,"['AUDUSD', 'EURUSD', 'GBPUSD', 'NZDUSD', 'USDCAD', 'USDCHF']",h22+3h,"[22, 23, 0]",False,620,88.6,0.3452,0.0398,11,1.061
SL_SIGNAL_CANDLE_PLUS_0_25,commodity,"['AUDCAD', 'AUDCHF', 'NZDCAD', 'NZDCHF']",h15+3h,"[15, 16, 17]",False,398,56.9,0.3417,0.0326,9,1.05
SL_SIGNAL_CANDLE_PLUS_0_25,eur_crosses,"['EURAUD', 'EURCAD', 'EURCHF', 'EURGBP', 'EURNZD']",h00+3h,"[0, 1, 2]",False,572,81.8,0.3462,0.0465,11,1.072
SL_SIGNAL_CANDLE_PLUS_0_25,jpy_pairs,"['AUDJPY', 'CADJPY', 'CHFJPY', 'EURJPY', 'GBPJPY', 'NZDJPY', 'USDJPY']",h12+3h,"[12, 13, 14]",True,945,135.1,0.3651,0.1519,16,1.252
SL_SIGNAL_CANDLE_PLUS_0_25,usd_majors,"['AUDUSD', 'EURUSD', 'GBPUSD', 'NZDUSD', 'USDCAD', 'USDCHF']",h22+3h,"[22, 23, 0]",False,620,88.6,0.3548,0.0688,12,1.107
